"Plot Title: 10592087"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,09/23/14 02:23:57 PM,0.00,,
2,09/24/14 10:36:57 PM,0.01,,
3,09/25/14 12:16:33 AM,0.02,,
4,09/25/14 12:43:41 AM,0.03,,
5,09/25/14 01:04:10 AM,0.04,,
6,09/25/14 01:14:58 AM,0.05,,
7,09/25/14 01:36:51 AM,0.06,,
8,09/25/14 02:07:38 AM,0.07,,
9,09/25/14 02:27:09 AM,0.08,,
10,09/25/14 03:07:07 AM,0.09,,
11,09/25/14 03:37:29 AM,0.10,,
12,09/25/14 03:57:08 AM,0.11,,
13,09/25/14 04:32:43 AM,0.12,,
14,09/25/14 05:06:18 AM,0.13,,
15,09/25/14 05:21:59 AM,0.14,,
16,09/25/14 05:29:55 AM,0.15,,
17,09/25/14 05:29:56 AM,0.16,,
18,09/25/14 05:38:11 AM,0.17,,
19,09/25/14 05:47:40 AM,0.18,,
20,09/25/14 06:00:54 AM,0.19,,
21,09/25/14 06:06:13 AM,0.20,,
22,09/25/14 06:12:50 AM,0.21,,
23,09/25/14 06:17:55 AM,0.22,,
24,09/25/14 06:22:53 AM,0.23,,
25,09/25/14 06:26:49 AM,0.24,,
26,09/25/14 06:34:15 AM,0.25,,
27,09/25/14 06:40:58 AM,0.26,,
28,09/25/14 06:46:09 AM,0.27,,
29,09/25/14 06:52:29 AM,0.28,,
30,09/25/14 07:04:10 AM,0.29,,
31,09/25/14 07:43:04 AM,0.30,,
32,09/25/14 07:43:05 AM,0.31,,
33,09/30/14 12:51:24 PM,0.31,Logged,Logged
