"Plot Title: Range"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Detached (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
1,09/25/19 01:00:00 PM,102.900,0.00,,,,
2,09/25/19 01:15:00 PM,105.161,,,,,
3,09/25/19 01:30:00 PM,105.786,,,,,
4,09/25/19 01:45:00 PM,103.104,,,,,
5,09/25/19 02:00:00 PM,104.333,,,,,
6,09/25/19 02:15:00 PM,104.128,,,,,
7,09/25/19 02:30:00 PM,99.687,,,,,
8,09/25/19 02:45:00 PM,100.083,,,,,
9,09/25/19 03:00:00 PM,99.885,,,,,
10,09/25/19 03:15:00 PM,99.291,,,,,
11,09/25/19 03:30:00 PM,95.207,,,,,
12,09/25/19 03:45:00 PM,91.425,,,,,
13,09/25/19 04:00:00 PM,94.062,,,,,
14,09/25/19 04:15:00 PM,96.555,,,,,
15,09/25/19 04:30:00 PM,97.916,,,,,
16,09/25/19 04:45:00 PM,89.569,,,,,
17,09/25/19 05:00:00 PM,82.686,,,,,
18,09/25/19 05:15:00 PM,81.442,,,,,
19,09/25/19 05:30:00 PM,82.864,,,,,
20,09/25/19 05:45:00 PM,81.266,,,,,
21,09/25/19 06:00:00 PM,79.502,,,,,
22,09/25/19 06:15:00 PM,77.923,,,,,
23,09/25/19 06:30:00 PM,75.659,,,,,
24,09/25/19 06:45:00 PM,71.683,,,,,
25,09/25/19 07:00:00 PM,68.592,,,,,
26,09/25/19 07:15:00 PM,68.592,,,,,
27,09/25/19 07:30:00 PM,66.708,,,,,
28,09/25/19 07:45:00 PM,64.481,,,,,
29,09/25/19 08:00:00 PM,63.455,,,,,
30,09/25/19 08:15:00 PM,63.282,,,,,
31,09/25/19 08:30:00 PM,64.996,,,,,
32,09/25/19 08:45:00 PM,66.537,,,,,
33,09/25/19 09:00:00 PM,67.392,,,,,
34,09/25/19 09:15:00 PM,68.077,,,,,
35,09/25/19 09:30:00 PM,68.421,,,,,
36,09/25/19 09:45:00 PM,68.248,,,,,
37,09/25/19 10:00:00 PM,68.077,,,,,
38,09/25/19 10:15:00 PM,67.906,,,,,
39,09/25/19 10:30:00 PM,67.735,,,,,
40,09/25/19 10:45:00 PM,68.077,,,,,
41,09/25/19 11:00:00 PM,68.248,,,,,
42,09/25/19 11:15:00 PM,68.077,,,,,
43,09/25/19 11:30:00 PM,67.392,,,,,
44,09/25/19 11:45:00 PM,66.708,,,,,
45,09/26/19 12:00:00 AM,65.851,,,,,
46,09/26/19 12:15:00 AM,65.509,,,,,
47,09/26/19 12:30:00 AM,64.652,,,,,
48,09/26/19 12:45:00 AM,64.139,,,,,
49,09/26/19 01:00:00 AM,64.652,,,,,
50,09/26/19 01:15:00 AM,64.996,,,,,
51,09/26/19 01:30:00 AM,63.968,,,,,
52,09/26/19 01:45:00 AM,63.626,,,,,
53,09/26/19 02:00:00 AM,62.940,,,,,
54,09/26/19 02:15:00 AM,63.111,,,,,
55,09/26/19 02:30:00 AM,61.569,,,,,
56,09/26/19 02:45:00 AM,60.712,,,,,
57,09/26/19 03:00:00 AM,60.195,,,,,
58,09/26/19 03:15:00 AM,60.539,,,,,
59,09/26/19 03:30:00 AM,60.368,,,,,
60,09/26/19 03:45:00 AM,61.398,,,,,
61,09/26/19 04:00:00 AM,61.741,,,,,
62,09/26/19 04:15:00 AM,60.883,,,,,
63,09/26/19 04:30:00 AM,60.539,,,,,
64,09/26/19 04:45:00 AM,61.054,,,,,
65,09/26/19 05:00:00 AM,61.054,,,,,
66,09/26/19 05:15:00 AM,60.883,,,,,
67,09/26/19 05:30:00 AM,60.712,,,,,
68,09/26/19 05:45:00 AM,60.712,,,,,
69,09/26/19 06:00:00 AM,60.712,,,,,
70,09/26/19 06:15:00 AM,60.712,,,,,
71,09/26/19 06:30:00 AM,61.054,,,,,
72,09/26/19 06:45:00 AM,61.227,,,,,
73,09/26/19 06:48:09 AM,,0.01,,,,
74,09/26/19 07:00:00 AM,61.398,,,,,
75,09/26/19 07:15:00 AM,61.741,,,,,
76,09/26/19 07:30:00 AM,62.083,,,,,
77,09/26/19 07:45:00 AM,62.425,,,,,
78,09/26/19 08:00:00 AM,62.769,,,,,
79,09/26/19 08:15:00 AM,63.282,,,,,
80,09/26/19 08:30:00 AM,63.797,,,,,
81,09/26/19 08:45:00 AM,64.139,,,,,
82,09/26/19 09:00:00 AM,64.481,,,,,
83,09/26/19 09:15:00 AM,64.652,,,,,
84,09/26/19 09:30:00 AM,65.167,,,,,
85,09/26/19 09:45:00 AM,65.680,,,,,
86,09/26/19 10:00:00 AM,66.537,,,,,
87,09/26/19 10:15:00 AM,67.392,,,,,
88,09/26/19 10:30:00 AM,68.421,,,,,
89,09/26/19 10:45:00 AM,69.793,,,,,
90,09/26/19 11:00:00 AM,71.339,,,,,
91,09/26/19 11:15:00 AM,73.234,,,,,
