"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,09/17/13 11:14:59 AM,0.00,,,
2,09/17/13 11:15:09 AM,,Logged,,
3,09/21/13 02:02:17 AM,0.01,,,
4,09/21/13 02:16:06 AM,0.02,,,
5,09/21/13 02:24:36 AM,0.03,,,
6,09/21/13 02:31:40 AM,0.04,,,
7,09/21/13 02:38:07 AM,0.05,,,
8,09/21/13 02:43:29 AM,0.06,,,
9,09/21/13 02:43:30 AM,0.07,,,
10,09/21/13 02:49:07 AM,0.08,,,
11,09/21/13 02:53:14 AM,0.09,,,
12,09/21/13 03:05:02 AM,0.10,,,
13,09/21/13 03:05:03 AM,0.11,,,
14,09/21/13 03:12:54 AM,0.12,,,
15,09/21/13 03:23:16 AM,0.13,,,
16,09/21/13 04:06:31 AM,0.14,,,
17,09/21/13 06:23:18 AM,0.15,,,
18,09/21/13 06:50:55 AM,0.16,,,
19,09/21/13 07:09:17 AM,0.17,,,
20,09/21/13 11:02:02 AM,0.18,,,
21,09/21/13 11:06:57 AM,0.19,,,
22,09/21/13 11:14:56 AM,0.20,,,
23,09/21/13 11:19:01 AM,0.21,,,
24,09/21/13 11:23:44 AM,0.22,,,
25,09/21/13 11:24:52 AM,0.23,,,
26,09/21/13 11:26:39 AM,0.24,,,
27,09/21/13 11:28:35 AM,0.25,,,
28,09/21/13 11:28:36 AM,0.26,,,
29,09/21/13 11:29:09 AM,0.27,,,
30,09/21/13 11:30:33 AM,0.28,,,
31,09/21/13 11:39:23 AM,0.29,,,
32,09/21/13 11:45:18 AM,0.30,,,
33,09/21/13 11:46:56 AM,0.31,,,
34,09/21/13 11:55:46 AM,0.32,,,
35,09/21/13 11:58:20 AM,0.33,,,
36,09/21/13 12:06:06 PM,0.34,,,
37,09/21/13 12:07:28 PM,0.35,,,
38,09/21/13 12:07:56 PM,0.36,,,
39,09/21/13 12:08:31 PM,0.37,,,
40,09/21/13 12:08:32 PM,0.38,,,
41,09/21/13 12:10:18 PM,0.39,,,
42,09/21/13 12:14:35 PM,0.40,,,
43,09/21/13 12:41:36 PM,0.41,,,
44,09/21/13 12:54:31 PM,0.42,,,
45,09/21/13 12:59:10 PM,0.43,,,
46,09/21/13 01:02:30 PM,0.44,,,
47,09/21/13 01:04:09 PM,0.45,,,
48,09/21/13 01:08:10 PM,0.46,,,
49,09/21/13 01:13:19 PM,0.47,,,
50,09/21/13 01:21:45 PM,0.48,,,
51,09/21/13 01:47:45 PM,0.49,,,
52,09/24/13 03:09:23 PM,0.49,,Logged,Logged
