"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,10/03/12 12:12:38 PM,0.00,,,
2,10/03/12 12:13:13 PM,,Logged,,
3,10/10/12 12:09:44 AM,0.01,,,
4,10/10/12 12:10:38 AM,0.02,,,
5,10/10/12 12:11:21 AM,0.03,,,
6,10/10/12 12:11:50 AM,0.04,,,
7,10/10/12 12:12:27 AM,0.05,,,
8,10/10/12 12:13:14 AM,0.06,,,
9,10/10/12 12:14:08 AM,0.07,,,
10,10/10/12 12:23:59 AM,0.08,,,
11,10/10/12 12:24:00 AM,0.09,,,
12,10/10/12 12:26:29 AM,0.10,,,
13,10/10/12 12:28:09 AM,0.11,,,
14,10/10/12 12:47:28 AM,0.12,,,
15,10/10/12 12:53:16 AM,0.13,,,
16,10/10/12 12:53:17 AM,0.14,,,
17,10/10/12 06:59:50 AM,0.15,,,
18,10/10/12 08:52:07 AM,0.16,,,
19,10/10/12 09:15:59 AM,0.17,,,
20,10/10/12 09:16:45 AM,0.18,,,
21,10/10/12 09:21:00 AM,0.19,,,
22,10/10/12 01:29:33 PM,0.19,,Logged,Logged
