"Plot Title: 10592075"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Detached (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,09/17/14 03:05:03 PM,0.00,,,
2,09/17/14 03:05:13 PM,,Logged,,
3,09/17/14 03:48:23 PM,0.01,,,
4,09/18/14 01:14:04 AM,0.02,,,
5,09/18/14 01:44:28 AM,0.03,,,
6,09/18/14 02:45:20 AM,0.04,,,
7,09/18/14 03:02:19 AM,0.05,,,
8,09/18/14 03:09:04 AM,0.06,,,
9,09/18/14 03:09:05 AM,0.07,,,
10,09/18/14 03:42:17 AM,0.08,,,
11,09/18/14 04:40:32 AM,0.09,,,
12,09/18/14 04:44:59 AM,0.10,,,
13,09/18/14 05:01:08 AM,0.11,,,
14,09/18/14 03:02:32 PM,0.12,,,
15,09/18/14 03:02:47 PM,0.12,,Logged,Logged
