"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,03/29/16 12:35:00 PM,,Logged
2,03/29/16 12:36:00 PM,0.00,
3,03/29/16 12:35:00 PM,0.00,
