"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
110,03/03/19 12:54:20 PM,,0.60,,,,,
111,03/03/19 12:57:45 PM,,0.61,,,,,
112,03/03/19 01:00:00 PM,55.017,,,,,,
113,03/03/19 01:01:00 PM,,0.62,,,,,
114,03/03/19 01:03:44 PM,,0.63,,,,,
115,03/03/19 01:06:55 PM,,0.64,,,,,
116,03/03/19 01:12:01 PM,,0.65,,,,,
117,03/03/19 01:24:16 PM,,0.66,,,,,
118,03/03/19 01:30:00 PM,54.669,,,,,,
119,03/03/19 01:43:38 PM,,0.67,,,,,
120,03/03/19 01:50:41 PM,,0.68,,,,,
121,03/03/19 02:00:00 PM,53.274,,,,,,
122,03/03/19 02:07:10 PM,,0.69,,,,,
123,03/03/19 02:22:58 PM,,0.70,,,,,
124,03/03/19 02:30:00 PM,52.576,,,,,,
125,03/03/19 02:33:18 PM,,0.71,,,,,
126,03/03/19 03:00:00 PM,52.225,,,,,,
127,03/03/19 03:13:51 PM,,0.72,,,,,
128,03/03/19 03:28:41 PM,,0.73,,,,,
129,03/03/19 03:30:00 PM,51.874,,,,,,
130,03/03/19 03:36:49 PM,,0.74,,,,,
131,03/03/19 04:00:00 PM,51.172,,,,,,
132,03/03/19 04:30:00 PM,50.995,,,,,,
133,03/03/19 05:00:00 PM,50.643,,,,,,
134,03/03/19 05:30:00 PM,50.290,,,,,,
135,03/03/19 06:00:00 PM,49.404,,,,,,
136,03/03/19 06:30:00 PM,48.517,,,,,,
137,03/03/19 07:00:00 PM,47.982,,,,,,
138,03/03/19 07:30:00 PM,47.982,,,,,,
139,03/03/19 07:35:11 PM,,0.75,,,,,
140,03/03/19 08:00:00 PM,48.160,,,,,,
141,03/03/19 08:30:00 PM,48.339,,,,,,
142,03/03/19 09:00:00 PM,48.339,,,,,,
143,03/03/19 09:30:00 PM,48.339,,,,,,
144,03/03/19 10:00:00 PM,47.982,,,,,,
145,03/03/19 10:30:00 PM,47.446,,,,,,
146,03/03/19 11:00:00 PM,47.446,,,,,,
147,03/03/19 11:30:00 PM,47.266,,,,,,
148,03/04/19 12:00:00 AM,47.088,,,,,,
149,03/04/19 12:30:00 AM,46.908,,,,,,
150,03/04/19 01:00:00 AM,46.908,,,,,,
151,03/04/19 01:30:00 AM,46.908,,,,,,
152,03/04/19 02:00:00 AM,46.908,,,,,,
