"Plot Title: LD"
"#","Date Time, GMT-08:00","Ext. Line Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,03/16/10 09:48:00 AM,0.00,,,
2,03/16/10 09:48:04 AM,,Logged,,
3,03/24/10 12:23:07 PM,0.00,,Logged,Logged
