"Plot Title: RLSF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,09/18/14 11:38:46 AM,0.00,,
2,09/18/14 11:50:22 AM,0.01,,
3,09/18/14 12:03:13 PM,0.02,,
4,09/18/14 12:03:19 PM,0.03,,
5,09/18/14 12:03:40 PM,0.04,,
6,09/18/14 12:04:26 PM,0.05,,
7,09/18/14 12:04:28 PM,0.06,,
8,09/18/14 12:05:49 PM,0.07,,
9,09/18/14 12:05:59 PM,0.08,,
10,09/18/14 12:06:19 PM,0.09,,
11,09/18/14 12:11:16 PM,0.10,,
12,09/18/14 12:11:17 PM,0.11,,
13,09/18/14 12:45:24 PM,0.12,,
14,09/18/14 12:45:53 PM,0.13,,
15,09/18/14 12:45:57 PM,0.14,,
16,09/18/14 12:45:58 PM,0.15,,
17,09/18/14 01:02:44 PM,0.16,,
18,09/18/14 01:03:01 PM,0.17,,
19,09/18/14 01:03:24 PM,0.18,,
20,09/18/14 01:26:56 PM,0.18,Logged,Logged
