"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,07/08/14 09:56:35 AM,0.00,,,
2,07/08/14 09:57:18 AM,,Logged,,
3,07/10/14 09:57:31 PM,0.01,,,
4,07/11/14 12:31:29 AM,0.02,,,
5,07/11/14 01:57:08 AM,0.03,,,
6,07/11/14 04:04:30 AM,0.04,,,
7,07/11/14 04:42:48 AM,0.05,,,
8,07/11/14 05:07:47 AM,0.06,,,
9,07/11/14 06:17:06 AM,0.07,,,
10,07/16/14 05:24:10 AM,0.08,,,
11,07/16/14 07:35:20 AM,0.09,,,
12,07/16/14 09:40:37 AM,0.10,,,
13,07/16/14 09:40:38 AM,0.10,,Logged,Logged
