"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592084, SEN S/N: 10592084, LBL: RLSM)","Coupler Detached (LGR S/N: 10592084, SEN S/N: 10592084)","Coupler Attached (LGR S/N: 10592084, SEN S/N: 10592084)","Stopped (LGR S/N: 10592084, SEN S/N: 10592084)","End Of File (LGR S/N: 10592084, SEN S/N: 10592084)"
1,03/25/15 10:48:17 AM,0.00,,,,
2,03/25/15 10:48:20 AM,,Logged,,,
3,04/05/15 09:11:59 AM,1.00,,,,
4,04/07/15 01:34:35 AM,2.00,,,,
5,04/07/15 01:53:02 AM,3.00,,,,
6,04/07/15 02:03:34 AM,4.00,,,,
7,04/07/15 02:10:18 AM,5.00,,,,
8,04/07/15 02:14:14 AM,6.00,,,,
9,04/07/15 02:17:41 AM,7.00,,,,
10,04/07/15 02:21:32 AM,8.00,,,,
11,04/07/15 02:25:35 AM,9.00,,,,
12,04/07/15 02:29:19 AM,10.00,,,,
13,04/07/15 02:31:54 AM,11.00,,,,
14,04/07/15 02:33:06 AM,12.00,,,,
15,04/07/15 02:36:12 AM,13.00,,,,
16,04/07/15 02:40:41 AM,14.00,,,,
17,04/07/15 02:45:39 AM,15.00,,,,
18,04/07/15 02:46:29 AM,16.00,,,,
19,04/07/15 02:48:37 AM,17.00,,,,
20,04/07/15 02:50:50 AM,18.00,,,,
21,04/07/15 02:55:05 AM,19.00,,,,
22,04/07/15 02:57:42 AM,20.00,,,,
23,04/07/15 03:01:01 AM,21.00,,,,
24,04/07/15 03:03:52 AM,22.00,,,,
25,04/07/15 03:07:12 AM,23.00,,,,
26,04/07/15 03:08:20 AM,24.00,,,,
27,04/07/15 03:10:01 AM,25.00,,,,
28,04/07/15 03:11:57 AM,26.00,,,,
29,04/07/15 03:14:02 AM,27.00,,,,
30,04/07/15 03:16:21 AM,28.00,,,,
31,04/07/15 03:20:23 AM,29.00,,,,
32,04/07/15 03:22:30 AM,30.00,,,,
33,04/07/15 03:24:02 AM,31.00,,,,
34,04/07/15 03:25:08 AM,32.00,,,,
35,04/07/15 03:26:57 AM,33.00,,,,
36,04/07/15 03:28:58 AM,34.00,,,,
37,04/07/15 03:35:24 AM,35.00,,,,
38,04/07/15 03:45:39 AM,36.00,,,,
39,04/07/15 03:50:53 AM,37.00,,,,
40,04/07/15 03:54:50 AM,38.00,,,,
41,04/07/15 03:56:26 AM,39.00,,,,
42,04/07/15 04:00:07 AM,40.00,,,,
43,04/07/15 04:02:38 AM,41.00,,,,
44,04/07/15 04:03:33 AM,42.00,,,,
45,04/07/15 04:04:52 AM,43.00,,,,
46,04/07/15 04:05:48 AM,44.00,,,,
47,04/07/15 04:06:28 AM,45.00,,,,
48,04/07/15 04:06:52 AM,46.00,,,,
49,04/07/15 04:07:12 AM,47.00,,,,
