"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,04/09/18 01:33:32 PM,83.579,0.00,,,,
2,04/09/18 01:33:45 PM,,,Logged,,,
3,04/09/18 02:33:32 PM,75.312,,,,,
4,04/09/18 03:33:32 PM,77.225,,,,,
5,04/09/18 04:33:32 PM,76.703,,,,,
6,04/09/18 05:33:32 PM,71.683,,,,,
7,04/09/18 06:33:32 PM,67.050,,,,,
8,04/09/18 07:33:32 PM,63.282,,,,,
9,04/09/18 08:33:32 PM,61.227,,,,,
10,04/09/18 09:33:32 PM,60.195,,,,,
11,04/09/18 10:33:32 PM,59.508,,,,,
12,04/09/18 11:33:32 PM,58.820,,,,,
13,04/10/18 12:33:32 AM,57.441,,,,,
14,04/10/18 01:33:32 AM,55.711,,,,,
15,04/10/18 02:33:32 AM,53.623,,,,,
16,04/10/18 03:33:32 AM,51.523,,,,,
17,04/10/18 04:33:32 AM,50.466,,,,,
18,04/10/18 05:33:32 AM,50.643,,,,,
19,04/10/18 06:33:32 AM,50.290,,,,,
20,04/10/18 07:33:32 AM,49.759,,,,,
21,04/10/18 08:33:32 AM,51.346,,,,,
22,04/10/18 09:33:32 AM,54.322,,,,,
23,04/10/18 10:33:32 AM,68.077,,,,,
24,04/10/18 11:33:32 AM,77.225,,,,,
25,04/10/18 12:33:32 PM,73.926,,,,,
26,04/10/18 01:33:32 PM,70.308,,,,,
27,04/10/18 02:33:32 PM,70.308,,,,,
28,04/10/18 03:33:32 PM,66.366,,,,,
29,04/10/18 04:33:32 PM,63.111,,,,,
30,04/10/18 05:33:32 PM,61.741,,,,,
31,04/10/18 06:33:32 PM,60.539,,,,,
32,04/10/18 07:33:32 PM,56.923,,,,,
33,04/10/18 08:33:32 PM,53.100,,,,,
34,04/10/18 09:33:32 PM,50.290,,,,,
35,04/10/18 10:33:32 PM,47.624,,,,,
36,04/10/18 11:33:32 PM,45.648,,,,,
37,04/11/18 12:33:32 AM,44.195,,,,,
38,04/11/18 01:33:32 AM,42.732,,,,,
39,04/11/18 02:33:32 AM,41.994,,,,,
40,04/11/18 03:33:32 AM,41.810,,,,,
41,04/11/18 04:33:32 AM,41.994,,,,,
42,04/11/18 05:33:32 AM,41.994,,,,,
43,04/11/18 06:33:32 AM,43.282,,,,,
44,04/11/18 07:33:32 AM,46.008,,,,,
45,04/11/18 08:33:32 AM,49.050,,,,,
46,04/11/18 09:33:32 AM,54.842,,,,,
47,04/11/18 10:33:32 AM,63.111,,,,,
48,04/11/18 11:33:32 AM,70.480,,,,,
49,04/11/18 12:33:32 PM,64.139,,,,,
50,04/11/18 01:33:32 PM,73.580,,,,,
51,04/11/18 02:33:32 PM,65.680,,,,,
52,04/11/18 03:33:32 PM,62.254,,,,,
53,04/11/18 04:33:32 PM,60.883,,,,,
54,04/11/18 05:33:32 PM,56.750,,,,,
55,04/11/18 06:33:32 PM,53.449,,,,,
56,04/11/18 06:43:56 PM,,0.01,,,,
57,04/11/18 06:47:09 PM,,0.02,,,,
58,04/11/18 06:50:09 PM,,0.03,,,,
59,04/11/18 06:53:35 PM,,0.04,,,,
60,04/11/18 06:57:27 PM,,0.05,,,,
