"Plot Title: LQC"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Attached (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Detached (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,11/10/14 01:01:43 PM,0.00,,,
2,11/11/14 01:42:30 AM,0.01,,,
3,11/13/14 12:57:18 AM,0.02,,,
4,11/13/14 01:04:59 AM,0.03,,,
5,11/13/14 01:15:40 AM,0.04,,,
6,11/13/14 01:20:58 AM,0.05,,,
7,11/13/14 01:25:04 AM,0.06,,,
8,11/13/14 01:28:56 AM,0.07,,,
9,11/13/14 01:32:13 AM,0.08,,,
10,11/13/14 01:35:25 AM,0.09,,,
11,11/13/14 01:39:05 AM,0.10,,,
12,11/13/14 01:43:46 AM,0.11,,,
13,11/13/14 01:49:49 AM,0.12,,,
14,11/13/14 01:55:14 AM,0.13,,,
15,11/13/14 01:55:15 AM,0.14,,,
16,11/13/14 02:03:28 AM,0.15,,,
17,11/13/14 02:10:27 AM,0.16,,,
18,11/13/14 02:24:02 AM,0.17,,,
19,11/13/14 03:29:59 AM,0.18,,,
20,11/13/14 03:30:00 AM,0.19,,,
21,11/13/14 04:08:09 AM,0.20,,,
22,11/13/14 04:40:00 AM,0.21,,,
23,11/13/14 06:21:45 AM,0.22,,,
24,11/13/14 06:29:46 AM,0.23,,,
25,11/13/14 06:34:18 AM,0.24,,,
26,11/13/14 07:12:23 AM,0.25,,,
27,11/18/14 11:01:23 AM,,Logged,,
28,11/18/14 11:02:01 AM,,,Logged,
29,11/18/14 11:02:05 AM,0.25,Logged,,Logged
