"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,09/01/10 03:13:26 PM,0.00,,,
2,09/01/10 03:13:32 PM,,Logged,,
3,09/14/10 10:33:17 AM,0.00,,Logged,Logged
