"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,10/22/12 04:53:09 PM,0.00,,,
2,10/22/12 04:53:17 PM,,Logged,,
3,10/23/12 03:44:22 AM,0.01,,,
4,10/23/12 03:46:15 AM,0.02,,,
5,10/23/12 03:46:16 AM,0.03,,,
6,10/23/12 05:15:24 AM,0.04,,,
7,10/23/12 05:16:10 AM,0.05,,,
8,10/23/12 05:16:11 AM,0.06,,,
9,10/23/12 05:16:59 AM,0.07,,,
10,10/23/12 05:18:48 AM,0.08,,,
11,10/23/12 05:22:48 AM,0.09,,,
12,10/23/12 05:35:33 AM,0.10,,,
13,10/24/12 06:56:38 AM,0.11,,,
14,10/24/12 07:29:49 AM,0.12,,,
15,10/24/12 07:34:56 AM,0.13,,,
16,10/24/12 07:34:57 AM,0.14,,,
17,10/24/12 07:36:20 AM,0.15,,,
18,10/24/12 07:37:23 AM,0.16,,,
19,10/24/12 07:41:07 AM,0.17,,,
20,10/24/12 07:47:57 AM,0.18,,,
21,10/24/12 07:54:21 AM,0.19,,,
22,10/24/12 08:06:59 AM,0.20,,,
23,10/24/12 08:23:09 AM,0.21,,,
24,10/24/12 08:23:10 AM,0.22,,,
25,10/24/12 08:28:02 AM,0.23,,,
26,10/24/12 08:39:38 AM,0.24,,,
27,10/24/12 08:39:39 AM,0.25,,,
28,10/24/12 08:41:42 AM,0.26,,,
29,10/24/12 08:45:54 AM,0.27,,,
30,10/24/12 09:29:20 AM,0.28,,,
31,10/25/12 11:10:26 AM,0.29,,,
32,10/29/12 03:56:47 PM,0.29,,Logged,Logged
