"Plot Title: LQC"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Detached (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Attached (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,09/18/14 10:23:43 AM,0.00,,,
2,09/18/14 10:24:01 AM,,Logged,,
3,09/23/14 02:09:11 PM,0.00,,Logged,Logged
