"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
115,02/04/19 01:59:17 AM,,0.98,,,,
116,02/04/19 01:59:23 AM,,0.99,,,,
117,02/04/19 01:59:34 AM,,1.00,,,,
118,02/04/19 02:00:00 AM,48.871,,,,,
119,02/04/19 02:00:12 AM,,1.01,,,,
120,02/04/19 02:02:46 AM,,1.02,,,,
121,02/04/19 02:07:03 AM,,1.03,,,,
122,02/04/19 02:10:36 AM,,1.04,,,,
123,02/04/19 02:14:06 AM,,1.05,,,,
124,02/04/19 02:17:55 AM,,1.06,,,,
125,02/04/19 02:21:20 AM,,1.07,,,,
126,02/04/19 02:23:41 AM,,1.08,,,,
127,02/04/19 02:29:37 AM,,1.09,,,,
128,02/04/19 02:35:24 AM,,1.10,,,,
129,02/04/19 03:00:00 AM,48.695,,,,,
130,02/04/19 03:02:08 AM,,1.11,,,,
131,02/04/19 03:51:11 AM,,1.12,,,,
132,02/04/19 04:00:00 AM,48.517,,,,,
133,02/04/19 04:40:36 AM,,1.13,,,,
134,02/04/19 05:00:00 AM,47.982,,,,,
135,02/04/19 05:49:05 AM,,1.14,,,,
136,02/04/19 06:00:00 AM,46.908,,,,,
137,02/04/19 06:03:39 AM,,1.15,,,,
138,02/04/19 07:00:00 AM,45.828,,,,,
139,02/04/19 07:50:46 AM,,1.16,,,,
140,02/04/19 07:53:18 AM,,1.17,,,,
141,02/04/19 07:54:06 AM,,1.18,,,,
142,02/04/19 07:55:14 AM,,1.19,,,,
143,02/04/19 08:00:00 AM,46.008,,,,,
144,02/04/19 08:17:41 AM,,1.20,,,,
145,02/04/19 09:00:00 AM,47.088,,,,,
146,02/04/19 09:04:50 AM,,1.21,,,,
147,02/04/19 09:05:14 AM,,1.22,,,,
148,02/04/19 09:07:15 AM,,1.23,,,,
149,02/04/19 09:08:57 AM,,1.24,,,,
150,02/04/19 09:10:13 AM,,1.25,,,,
151,02/04/19 09:17:34 AM,,1.26,,,,
152,02/04/19 09:22:52 AM,,1.27,,,,
153,02/04/19 09:23:10 AM,,1.28,,,,
154,02/04/19 09:23:41 AM,,1.29,,,,
155,02/04/19 09:23:59 AM,,1.30,,,,
156,02/04/19 09:24:14 AM,,1.31,,,,
157,02/04/19 09:24:35 AM,,1.32,,,,
158,02/04/19 09:25:28 AM,,1.33,,,,
159,02/04/19 09:33:17 AM,,1.34,,,,
160,02/04/19 10:00:00 AM,46.188,,,,,
161,02/04/19 10:15:32 AM,,1.35,,,,
162,02/04/19 11:00:00 AM,48.339,,,,,
163,02/04/19 11:31:38 AM,,1.36,,,,
164,02/04/19 11:36:34 AM,,1.37,,,,
165,02/04/19 11:42:05 AM,,1.38,,,,
166,02/04/19 12:00:00 PM,45.828,,,,,
167,02/04/19 12:37:07 PM,,1.39,,,,
168,02/04/19 12:41:15 PM,,1.40,,,,
169,02/04/19 12:55:27 PM,,1.41,,,,
170,02/04/19 01:00:00 PM,45.286,,,,,
171,02/04/19 02:00:00 PM,48.160,,,,,
172,02/04/19 02:05:32 PM,,1.42,,,,
173,02/04/19 02:08:46 PM,,1.43,,,,
174,02/04/19 02:17:43 PM,,1.44,,,,
175,02/04/19 02:51:42 PM,,1.45,,,,
176,02/04/19 02:57:18 PM,,1.46,,,,
177,02/04/19 03:00:00 PM,46.548,,,,,
178,02/04/19 04:00:00 PM,45.828,,,,,
179,02/04/19 04:12:24 PM,,1.47,,,,
180,02/04/19 05:00:00 PM,44.379,,,,,
181,02/04/19 06:00:00 PM,42.548,,,,,
182,02/04/19 07:00:00 PM,42.548,,,,,
183,02/04/19 07:28:00 PM,,1.48,,,,
184,02/04/19 08:00:00 PM,41.994,,,,,
185,02/04/19 09:00:00 PM,41.994,,,,,
186,02/04/19 10:00:00 PM,41.994,,,,,
187,02/04/19 10:22:17 PM,,1.49,,,,
188,02/04/19 11:00:00 PM,41.067,,,,,
189,02/04/19 11:32:53 PM,,1.50,,,,
190,02/04/19 11:58:56 PM,,1.51,,,,
191,02/05/19 12:00:00 AM,40.134,,,,,
192,02/05/19 01:00:00 AM,39.760,,,,,
193,02/05/19 01:08:00 AM,,1.52,,,,
194,02/05/19 01:25:01 AM,,1.53,,,,
195,02/05/19 01:28:01 AM,,1.54,,,,
196,02/05/19 01:30:50 AM,,1.55,,,,
197,02/05/19 01:33:12 AM,,1.56,,,,
198,02/05/19 02:00:00 AM,38.629,,,,,
199,02/05/19 02:14:36 AM,,1.57,,,,
200,02/05/19 02:17:38 AM,,1.58,,,,
201,02/05/19 02:19:57 AM,,1.59,,,,
202,02/05/19 03:00:00 AM,37.488,,,,,
203,02/05/19 03:13:08 AM,,1.60,,,,
204,02/05/19 04:00:00 AM,38.629,,,,,
205,02/05/19 04:57:32 AM,,1.61,,,,
206,02/05/19 05:00:00 AM,37.107,,,,,
207,02/05/19 05:00:29 AM,,1.62,,,,
208,02/05/19 05:21:00 AM,,1.63,,,,
209,02/05/19 05:30:31 AM,,1.64,,,,
210,02/05/19 06:00:00 AM,35.564,,,,,
211,02/05/19 06:34:16 AM,,1.65,,,,
212,02/05/19 06:44:44 AM,,1.66,,,,
213,02/05/19 07:00:00 AM,35.370,,,,,
214,02/05/19 07:05:12 AM,,1.67,,,,
215,02/05/19 08:00:00 AM,35.758,,,,,
216,02/05/19 09:00:00 AM,37.297,,,,,
217,02/05/19 09:36:45 AM,,1.68,,,,
218,02/05/19 10:00:00 AM,39.760,,,,,
219,02/05/19 11:00:00 AM,41.994,,,,,
220,02/05/19 12:00:00 PM,46.728,,,,,
221,02/05/19 01:00:00 PM,50.466,,,,,
222,02/05/19 02:00:00 PM,47.982,,,,,
223,02/05/19 03:00:00 PM,45.104,,,,,
224,02/05/19 04:00:00 PM,44.013,,,,,
225,02/05/19 05:00:00 PM,41.810,,,,,
226,02/05/19 06:00:00 PM,39.384,,,,,
227,02/05/19 07:00:00 PM,37.679,,,,,
228,02/05/19 08:00:00 PM,36.531,,,,,
229,02/05/19 09:00:00 PM,35.951,,,,,
230,02/05/19 10:00:00 PM,35.951,,,,,
231,02/05/19 11:00:00 PM,36.145,,,,,
232,02/06/19 12:00:00 AM,36.531,,,,,
233,02/06/19 01:00:00 AM,36.531,,,,,
234,02/06/19 02:00:00 AM,36.914,,,,,
235,02/06/19 02:11:39 AM,,1.69,,,,
236,02/06/19 02:27:41 AM,,1.70,,,,
237,02/06/19 02:30:22 AM,,1.71,,,,
238,02/06/19 02:33:44 AM,,1.72,,,,
239,02/06/19 02:42:02 AM,,1.73,,,,
240,02/06/19 02:47:45 AM,,1.74,,,,
241,02/06/19 03:00:00 AM,38.629,,,,,
242,02/06/19 03:34:18 AM,,1.75,,,,
243,02/06/19 04:00:00 AM,39.196,,,,,
244,02/06/19 05:00:00 AM,38.629,,,,,
245,02/06/19 06:00:00 AM,37.870,,,,,
246,02/06/19 07:00:00 AM,37.107,,,,,
247,02/06/19 08:00:00 AM,37.297,,,,,
248,02/06/19 09:00:00 AM,38.440,,,,,
249,02/06/19 10:00:00 AM,42.179,,,,,
250,02/06/19 11:00:00 AM,47.088,,,,,
251,02/06/19 12:00:00 PM,50.466,,,,,
252,02/06/19 01:00:00 PM,51.874,,,,,
253,02/06/19 02:00:00 PM,53.623,,,,,
254,02/06/19 03:00:00 PM,50.819,,,,,
255,02/06/19 04:00:00 PM,49.937,,,,,
256,02/06/19 05:00:00 PM,46.728,,,,,
257,02/06/19 06:00:00 PM,45.648,,,,,
258,02/06/19 07:00:00 PM,45.104,,,,,
259,02/06/19 08:00:00 PM,43.831,,,,,
260,02/06/19 09:00:00 PM,41.810,,,,,
261,02/06/19 10:00:00 PM,40.696,,,,,
262,02/06/19 11:00:00 PM,40.134,,,,,
263,02/07/19 12:00:00 AM,39.384,,,,,
264,02/07/19 01:00:00 AM,38.629,,,,,
265,02/07/19 02:00:00 AM,38.061,,,,,
266,02/07/19 03:00:00 AM,37.297,,,,,
267,02/07/19 04:00:00 AM,36.914,,,,,
268,02/07/19 05:00:00 AM,36.723,,,,,
269,02/07/19 06:00:00 AM,36.531,,,,,
270,02/07/19 07:00:00 AM,36.338,,,,,
271,02/07/19 08:00:00 AM,36.723,,,,,
272,02/07/19 09:00:00 AM,39.007,,,,,
273,02/07/19 10:00:00 AM,44.195,,,,,
274,02/07/19 11:00:00 AM,48.160,,,,,
275,02/07/19 12:00:00 PM,53.623,,,,,
276,02/07/19 01:00:00 PM,56.057,,,,,
277,02/07/19 02:00:00 PM,52.750,,,,,
278,02/07/19 03:00:00 PM,52.050,,,,,
279,02/07/19 04:00:00 PM,50.819,,,,,
280,02/07/19 05:00:00 PM,47.446,,,,,
281,02/07/19 06:00:00 PM,44.013,,,,,
282,02/07/19 07:00:00 PM,42.179,,,,,
283,02/07/19 08:00:00 PM,42.915,,,,,
284,02/07/19 09:00:00 PM,43.099,,,,,
285,02/07/19 10:00:00 PM,42.363,,,,,
286,02/07/19 10:45:54 PM,,1.76,,,,
287,02/07/19 11:00:00 PM,42.363,,,,,
288,02/08/19 12:00:00 AM,41.994,,,,,
289,02/08/19 01:00:00 AM,41.254,,,,,
290,02/08/19 02:00:00 AM,41.994,,,,,
291,02/08/19 03:00:00 AM,41.625,,,,,
292,02/08/19 04:00:00 AM,41.067,,,,,
293,02/08/19 05:00:00 AM,41.067,,,,,
294,02/08/19 06:00:00 AM,42.363,,,,,
295,02/08/19 07:00:00 AM,43.099,,,,,
296,02/08/19 08:00:00 AM,43.831,,,,,
297,02/08/19 09:00:00 AM,45.286,,,,,
298,02/08/19 10:00:00 AM,47.802,,,,,
299,02/08/19 11:00:00 AM,51.172,,,,,
300,02/08/19 12:00:00 PM,49.404,,,,,
301,02/08/19 12:29:50 PM,,1.77,,,,
302,02/08/19 12:41:20 PM,,1.78,,,,
303,02/08/19 12:47:47 PM,,1.79,,,,
304,02/08/19 12:51:46 PM,,1.80,,,,
305,02/08/19 12:55:21 PM,,1.81,,,,
306,02/08/19 12:58:36 PM,,1.82,,,,
307,02/08/19 01:00:00 PM,46.008,,,,,
308,02/08/19 01:01:36 PM,,1.83,,,,
309,02/08/19 01:05:21 PM,,1.84,,,,
310,02/08/19 01:08:15 PM,,1.85,,,,
311,02/08/19 01:09:58 PM,,1.86,,,,
312,02/08/19 01:11:15 PM,,1.87,,,,
313,02/08/19 01:12:31 PM,,1.88,,,,
314,02/08/19 01:14:05 PM,,1.89,,,,
315,02/08/19 01:16:33 PM,,1.90,,,,
316,02/08/19 01:19:27 PM,,1.91,,,,
317,02/08/19 01:21:40 PM,,1.92,,,,
318,02/08/19 01:24:05 PM,,1.93,,,,
319,02/08/19 01:26:19 PM,,1.94,,,,
320,02/08/19 01:28:45 PM,,1.95,,,,
321,02/08/19 01:30:49 PM,,1.96,,,,
322,02/08/19 01:33:04 PM,,1.97,,,,
323,02/08/19 01:35:14 PM,,1.98,,,,
324,02/08/19 01:38:04 PM,,1.99,,,,
325,02/08/19 01:40:44 PM,,2.00,,,,
326,02/08/19 01:43:36 PM,,2.01,,,,
327,02/08/19 01:46:12 PM,,2.02,,,,
328,02/08/19 01:49:01 PM,,2.03,,,,
329,02/08/19 01:51:03 PM,,2.04,,,,
330,02/08/19 01:52:43 PM,,2.05,,,,
331,02/08/19 01:55:35 PM,,2.06,,,,
332,02/08/19 01:58:20 PM,,2.07,,,,
333,02/08/19 01:59:30 PM,,2.08,,,,
334,02/08/19 02:00:00 PM,44.379,,,,,
335,02/08/19 02:02:18 PM,,2.09,,,,
336,02/08/19 02:04:35 PM,,2.10,,,,
337,02/08/19 02:07:05 PM,,2.11,,,,
338,02/08/19 02:09:44 PM,,2.12,,,,
339,02/08/19 02:12:32 PM,,2.13,,,,
340,02/08/19 02:15:08 PM,,2.14,,,,
341,02/08/19 02:18:13 PM,,2.15,,,,
342,02/08/19 02:20:11 PM,,2.16,,,,
343,02/08/19 02:22:59 PM,,2.17,,,,
344,02/08/19 02:24:52 PM,,2.18,,,,
345,02/08/19 02:27:25 PM,,2.19,,,,
346,02/08/19 02:30:00 PM,,2.20,,,,
347,02/08/19 02:33:45 PM,,2.21,,,,
348,02/08/19 02:37:45 PM,,2.22,,,,
349,02/08/19 02:40:53 PM,,2.23,,,,
350,02/08/19 02:43:48 PM,,2.24,,,,
351,02/08/19 02:50:17 PM,,2.25,,,,
352,02/08/19 03:00:00 PM,45.286,,,,,
353,02/08/19 03:03:12 PM,,2.26,,,,
354,02/08/19 03:15:51 PM,,2.27,,,,
355,02/08/19 03:19:04 PM,,2.28,,,,
356,02/08/19 03:28:07 PM,,2.29,,,,
357,02/08/19 03:36:12 PM,,2.30,,,,
358,02/08/19 03:46:26 PM,,2.31,,,,
359,02/08/19 03:56:05 PM,,2.32,,,,
360,02/08/19 04:00:00 PM,44.922,,,,,
361,02/08/19 04:07:13 PM,,2.33,,,,
362,02/08/19 04:11:24 PM,,2.34,,,,
363,02/08/19 04:19:46 PM,,2.35,,,,
364,02/08/19 04:24:30 PM,,2.36,,,,
365,02/08/19 04:27:33 PM,,2.37,,,,
366,02/08/19 04:34:02 PM,,2.38,,,,
367,02/08/19 04:55:58 PM,,2.39,,,,
368,02/08/19 05:00:00 PM,44.560,,,,,
369,02/08/19 05:04:54 PM,,2.40,,,,
370,02/08/19 05:56:04 PM,,2.41,,,,
371,02/08/19 06:00:00 PM,44.560,,,,,
372,02/08/19 07:00:00 PM,44.195,,,,,
373,02/08/19 07:55:10 PM,,2.42,,,,
374,02/08/19 08:00:00 PM,43.282,,,,,
375,02/08/19 08:02:18 PM,,2.43,,,,
376,02/08/19 08:06:46 PM,,2.44,,,,
377,02/08/19 09:00:00 PM,43.282,,,,,
378,02/08/19 10:00:00 PM,43.466,,,,,
379,02/08/19 10:03:41 PM,,2.45,,,,
380,02/08/19 10:15:21 PM,,2.46,,,,
381,02/08/19 11:00:00 PM,43.282,,,,,
382,02/08/19 11:12:12 PM,,2.47,,,,
383,02/08/19 11:13:01 PM,,2.48,,,,
384,02/08/19 11:14:06 PM,,2.49,,,,
385,02/08/19 11:15:41 PM,,2.50,,,,
386,02/08/19 11:18:08 PM,,2.51,,,,
387,02/08/19 11:20:42 PM,,2.52,,,,
388,02/08/19 11:23:28 PM,,2.53,,,,
389,02/08/19 11:26:40 PM,,2.54,,,,
390,02/08/19 11:37:55 PM,,2.55,,,,
391,02/08/19 11:50:36 PM,,2.56,,,,
392,02/08/19 11:54:27 PM,,2.57,,,,
393,02/08/19 11:57:22 PM,,2.58,,,,
394,02/09/19 12:00:00 AM,42.732,,,,,
395,02/09/19 12:04:49 AM,,2.59,,,,
396,02/09/19 12:10:03 AM,,2.60,,,,
397,02/09/19 12:19:19 AM,,2.61,,,,
398,02/09/19 12:29:45 AM,,2.62,,,,
399,02/09/19 12:41:17 AM,,2.63,,,,
400,02/09/19 12:50:35 AM,,2.64,,,,
401,02/09/19 01:00:00 AM,42.363,,,,,
402,02/09/19 02:00:00 AM,41.810,,,,,
403,02/09/19 03:00:00 AM,41.067,,,,,
404,02/09/19 04:00:00 AM,40.134,,,,,
405,02/09/19 05:00:00 AM,39.384,,,,,
406,02/09/19 06:00:00 AM,38.440,,,,,
407,02/09/19 07:00:00 AM,38.440,,,,,
408,02/09/19 08:00:00 AM,38.250,,,,,
409,02/09/19 09:00:00 AM,41.067,,,,,
410,02/09/19 10:00:00 AM,45.648,,,,,
411,02/09/19 11:00:00 AM,50.113,,,,,
412,02/09/19 12:00:00 PM,51.346,,,,,
413,02/09/19 01:00:00 PM,51.874,,,,,
414,02/09/19 02:00:00 PM,50.290,,,,,
415,02/09/19 02:42:31 PM,,2.65,,,,
416,02/09/19 02:44:08 PM,,2.66,,,,
417,02/09/19 02:47:35 PM,,2.67,,,,
418,02/09/19 02:50:24 PM,,2.68,,,,
419,02/09/19 02:54:19 PM,,2.69,,,,
420,02/09/19 02:56:38 PM,,2.70,,,,
421,02/09/19 03:00:00 PM,48.339,,,,,
422,02/09/19 03:01:58 PM,,2.71,,,,
423,02/09/19 04:00:00 PM,47.982,,,,,
424,02/09/19 04:27:06 PM,,2.72,,,,
425,02/09/19 04:51:00 PM,,2.73,,,,
426,02/09/19 04:55:21 PM,,2.74,,,,
427,02/09/19 04:57:39 PM,,2.75,,,,
428,02/09/19 05:00:00 PM,47.446,,,,,
429,02/09/19 06:00:00 PM,46.369,,,,,
430,02/09/19 07:00:00 PM,46.188,,,,,
431,02/09/19 07:17:28 PM,,2.76,,,,
432,02/09/19 07:29:11 PM,,2.77,,,,
433,02/09/19 07:40:31 PM,,2.78,,,,
434,02/09/19 07:45:58 PM,,2.79,,,,
435,02/09/19 07:46:38 PM,,2.80,,,,
436,02/09/19 07:47:27 PM,,2.81,,,,
437,02/09/19 07:47:52 PM,,2.82,,,,
438,02/09/19 07:48:28 PM,,2.83,,,,
439,02/09/19 07:50:16 PM,,2.84,,,,
440,02/09/19 07:54:53 PM,,2.85,,,,
441,02/09/19 08:00:00 PM,46.188,,,,,
442,02/09/19 09:00:00 PM,46.188,,,,,
443,02/09/19 10:00:00 PM,46.188,,,,,
444,02/09/19 10:26:19 PM,,2.86,,,,
445,02/09/19 11:00:00 PM,46.008,,,,,
446,02/09/19 11:41:57 PM,,2.87,,,,
447,02/09/19 11:42:55 PM,,2.88,,,,
448,02/09/19 11:43:18 PM,,2.89,,,,
449,02/09/19 11:48:22 PM,,2.90,,,,
450,02/09/19 11:52:23 PM,,2.91,,,,
451,02/09/19 11:53:20 PM,,2.92,,,,
452,02/09/19 11:55:06 PM,,2.93,,,,
453,02/09/19 11:57:38 PM,,2.94,,,,
454,02/09/19 11:59:04 PM,,2.95,,,,
455,02/10/19 12:00:00 AM,46.188,,,,,
456,02/10/19 12:00:59 AM,,2.96,,,,
457,02/10/19 12:03:08 AM,,2.97,,,,
458,02/10/19 12:06:34 AM,,2.98,,,,
459,02/10/19 12:08:04 AM,,2.99,,,,
460,02/10/19 12:10:02 AM,,3.00,,,,
461,02/10/19 12:12:38 AM,,3.01,,,,
462,02/10/19 12:25:01 AM,,3.02,,,,
463,02/10/19 12:51:25 AM,,3.03,,,,
464,02/10/19 12:53:04 AM,,3.04,,,,
465,02/10/19 12:55:02 AM,,3.05,,,,
466,02/10/19 01:00:00 AM,45.466,,,,,
467,02/10/19 01:22:58 AM,,3.06,,,,
468,02/10/19 01:34:12 AM,,3.07,,,,
469,02/10/19 01:39:27 AM,,3.08,,,,
470,02/10/19 01:42:47 AM,,3.09,,,,
471,02/10/19 01:47:00 AM,,3.10,,,,
472,02/10/19 01:51:22 AM,,3.11,,,,
473,02/10/19 01:55:54 AM,,3.12,,,,
474,02/10/19 02:00:00 AM,44.013,,,,,
475,02/10/19 02:10:40 AM,,3.13,,,,
476,02/10/19 02:24:06 AM,,3.14,,,,
477,02/10/19 02:31:50 AM,,3.15,,,,
478,02/10/19 02:35:41 AM,,3.16,,,,
479,02/10/19 02:41:18 AM,,3.17,,,,
480,02/10/19 02:43:25 AM,,3.18,,,,
481,02/10/19 02:45:22 AM,,3.19,,,,
482,02/10/19 02:47:11 AM,,3.20,,,,
483,02/10/19 02:53:35 AM,,3.21,,,,
484,02/10/19 03:00:00 AM,42.915,,,,,
485,02/10/19 03:01:55 AM,,3.22,,,,
486,02/10/19 03:27:53 AM,,3.23,,,,
487,02/10/19 03:39:08 AM,,3.24,,,,
488,02/10/19 04:00:00 AM,42.548,,,,,
489,02/10/19 04:09:35 AM,,3.25,,,,
490,02/10/19 04:19:15 AM,,3.26,,,,
491,02/10/19 04:49:59 AM,,3.27,,,,
492,02/10/19 04:56:38 AM,,3.28,,,,
493,02/10/19 05:00:00 AM,41.439,,,,,
494,02/10/19 05:11:38 AM,,3.29,,,,
495,02/10/19 06:00:00 AM,40.509,,,,,
496,02/10/19 06:33:42 AM,,3.30,,,,
497,02/10/19 06:45:21 AM,,3.31,,,,
498,02/10/19 07:00:00 AM,40.321,,,,,
499,02/10/19 08:00:00 AM,39.384,,,,,
500,02/10/19 09:00:00 AM,40.134,,,,,
501,02/10/19 10:00:00 AM,41.994,,,,,
502,02/10/19 11:00:00 AM,42.915,,,,,
503,02/10/19 12:00:00 PM,51.874,,,,,
504,02/10/19 01:00:00 PM,49.937,,,,,
505,02/10/19 01:32:21 PM,,,Logged,,,
506,02/10/19 01:32:25 PM,,,,Logged,,
507,02/10/19 01:32:44 PM,,3.31,,,Logged,Logged
