"Plot Title: LD"
"#","Date Time, GMT-08:00","Ext. Line Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,02/09/10 10:50:19 AM,0.00,,,
2,02/09/10 10:50:25 AM,,Logged,,
3,02/09/10 01:15:38 PM,0.01,,,
4,02/11/10 11:50:48 PM,0.02,,,
5,02/12/10 12:11:33 AM,0.03,,,
6,02/12/10 12:11:34 AM,0.04,,,
7,02/12/10 01:48:04 AM,0.05,,,
8,02/12/10 02:09:42 AM,0.06,,,
9,02/12/10 02:32:12 AM,0.07,,,
10,02/12/10 02:49:35 AM,0.08,,,
11,02/12/10 02:49:36 AM,0.09,,,
12,02/12/10 03:01:44 AM,0.10,,,
13,02/12/10 03:10:27 AM,0.11,,,
14,02/12/10 03:17:36 AM,0.12,,,
15,02/12/10 03:24:57 AM,0.13,,,
16,02/12/10 03:39:07 AM,0.14,,,
17,02/12/10 04:04:05 AM,0.15,,,
18,02/12/10 05:41:22 AM,0.16,,,
19,02/12/10 07:05:13 AM,0.17,,,
20,02/12/10 07:17:48 AM,0.18,,,
21,02/12/10 07:25:30 AM,0.19,,,
22,02/12/10 07:46:47 AM,0.20,,,
23,02/12/10 11:48:17 AM,0.21,,,
24,02/13/10 09:35:34 AM,0.22,,,
25,02/16/10 01:10:45 PM,0.22,,Logged,Logged
