"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,06/16/10 04:40:48 PM,0.00,,,
2,06/16/10 04:42:14 PM,,Logged,,
3,06/22/10 08:48:56 AM,,,Logged,
4,06/22/10 08:48:58 AM,,Logged,,
5,06/22/10 10:57:07 AM,1.00,,,
6,07/13/10 11:20:03 AM,2.00,,,
7,07/13/10 11:20:05 AM,3.00,,,
8,07/13/10 11:20:08 AM,4.00,,,
9,07/13/10 11:20:29 AM,5.00,,,
10,07/13/10 11:20:34 AM,6.00,,,
11,07/13/10 11:20:39 AM,7.00,,,
12,07/13/10 11:20:44 AM,8.00,,,
13,07/13/10 11:20:45 AM,9.00,,,
14,07/13/10 11:20:46 AM,10.00,,,
15,07/13/10 11:20:47 AM,11.00,,,
16,07/13/10 11:20:48 AM,12.00,,,
17,07/13/10 11:20:49 AM,13.00,,,
18,07/13/10 11:20:52 AM,14.00,,,
19,07/13/10 11:20:53 AM,15.00,,,
20,07/13/10 11:20:57 AM,16.00,,,
21,07/13/10 11:20:58 AM,17.00,,,
22,07/13/10 11:21:00 AM,18.00,,,
23,07/13/10 11:21:01 AM,19.00,,,
24,07/13/10 11:21:03 AM,20.00,,,
25,07/13/10 11:21:04 AM,21.00,,,
26,07/13/10 11:21:05 AM,22.00,,,
27,07/13/10 11:21:11 AM,23.00,,,
28,07/13/10 11:21:12 AM,24.00,,,
29,07/13/10 11:23:08 AM,25.00,,,
30,07/13/10 11:23:09 AM,26.00,,,
31,07/13/10 11:26:32 AM,27.00,,,
32,07/13/10 11:26:35 AM,28.00,,,
33,07/13/10 11:26:37 AM,29.00,,,
34,07/13/10 11:26:38 AM,30.00,,,
35,07/13/10 11:26:39 AM,31.00,,,
36,07/20/10 10:34:01 AM,31.00,,Logged,Logged
