"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,08/24/10 11:25:42 AM,0.00000000,,,
2,08/24/10 11:26:00 AM,,Logged,,
3,09/01/10 09:36:02 AM,,,Logged,
4,09/01/10 09:36:42 AM,,Logged,,
5,09/01/10 09:36:45 AM,,,Logged,
6,09/01/10 09:37:05 AM,,Logged,,
7,09/07/10 10:43:20 AM,0.00000000,,Logged,Logged
