"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668992, SEN S/N: 9668992)","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,05/17/11 11:25:09 AM,50.290,2.93,0.00,,
2,05/17/11 11:25:10 AM,50.466,2.95,,,
3,05/17/11 11:25:11 AM,50.466,2.95,,,
4,05/17/11 11:25:12 AM,50.466,2.97,,Logged,
5,05/17/11 11:25:13 AM,50.466,2.97,,,
6,05/17/11 11:25:14 AM,50.466,2.97,,,
7,05/17/11 11:25:15 AM,50.466,2.97,,,
8,05/17/11 11:25:16 AM,50.466,2.97,,,
9,05/17/11 11:25:17 AM,50.466,2.97,,,
10,05/17/11 11:25:18 AM,50.466,2.97,,,
11,05/17/11 11:25:19 AM,50.643,2.97,,,
12,05/17/11 11:25:20 AM,50.643,2.97,,,
13,05/17/11 11:25:21 AM,50.643,2.97,,,
14,05/17/11 11:25:22 AM,50.643,2.97,,,
15,05/17/11 11:25:23 AM,50.643,2.97,,,
16,05/17/11 11:25:24 AM,50.643,2.97,,,
17,05/17/11 11:25:25 AM,50.643,2.97,,,
18,05/17/11 11:25:26 AM,50.643,2.97,,,
19,05/17/11 11:25:27 AM,50.643,2.97,,,
20,05/17/11 11:25:28 AM,50.819,2.97,,,
21,05/17/11 11:25:29 AM,50.819,2.97,,,
22,05/17/11 11:25:30 AM,50.819,2.97,,,
23,05/17/11 11:25:31 AM,50.819,2.97,,,
24,05/17/11 11:25:32 AM,50.819,2.97,,,
25,05/17/11 11:25:33 AM,50.819,2.97,,,
26,05/17/11 11:25:34 AM,50.819,2.97,,,
27,05/17/11 11:25:35 AM,50.819,2.97,,,
28,05/17/11 11:25:36 AM,50.819,2.97,,,
29,05/17/11 11:25:37 AM,50.819,2.97,,,
30,05/17/11 11:25:38 AM,50.819,2.97,,,
31,05/17/11 11:25:39 AM,50.819,2.97,,,
32,05/17/11 11:25:40 AM,50.819,2.97,,,
33,05/17/11 11:25:41 AM,50.819,2.97,,,
34,05/17/11 11:25:42 AM,50.819,2.97,,,
35,05/17/11 11:25:43 AM,50.819,2.97,,,
36,05/17/11 11:25:44 AM,50.819,2.97,,,
37,05/17/11 11:25:45 AM,50.819,2.97,,,
38,05/17/11 11:25:46 AM,50.995,2.97,,,
39,05/17/11 11:25:47 AM,50.819,2.97,,,
40,05/17/11 11:25:48 AM,50.995,2.97,,,
41,05/17/11 11:25:49 AM,50.995,2.97,,,
42,05/17/11 11:25:50 AM,50.819,2.97,,,
43,05/17/11 11:25:51 AM,50.995,2.97,,,
44,05/17/11 11:25:52 AM,50.995,2.97,,,
45,05/17/11 11:25:53 AM,50.995,2.97,,,
