"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Bad Battery (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,01/10/12 02:39:36 PM,63.455,0.00000000,,,,
2,01/10/12 02:54:36 PM,61.227,,,,,
3,01/10/12 03:09:36 PM,61.912,,,,,
4,01/10/12 03:24:36 PM,59.164,,,,,
5,01/10/12 03:39:36 PM,56.577,,,,,
6,01/10/12 03:54:36 PM,55.189,,,,,
7,01/10/12 04:09:36 PM,53.623,,,,,
8,01/10/12 04:24:36 PM,52.576,,,,,
9,01/10/12 04:39:36 PM,51.346,,,,,
10,01/10/12 04:54:36 PM,50.290,,,,,
11,01/10/12 05:09:36 PM,49.050,,,,,
12,01/10/12 05:24:36 PM,47.982,,,,,
13,01/10/12 05:39:36 PM,47.088,,,,,
14,01/10/12 05:54:36 PM,46.728,,,,,
15,01/10/12 06:09:36 PM,46.548,,,,,
16,01/10/12 06:24:36 PM,45.648,,,,,
17,01/10/12 06:39:36 PM,44.922,,,,,
18,01/10/12 06:54:36 PM,44.379,,,,,
19,01/10/12 07:09:36 PM,44.922,,,,,
20,01/10/12 07:24:36 PM,45.104,,,,,
21,01/10/12 07:39:36 PM,44.922,,,,,
22,01/10/12 07:54:36 PM,44.013,,,,,
23,01/10/12 08:09:36 PM,43.831,,,,,
24,01/10/12 08:24:36 PM,44.013,,,,,
25,01/10/12 08:39:36 PM,44.742,,,,,
26,01/10/12 08:54:36 PM,44.560,,,,,
27,01/10/12 09:09:36 PM,44.560,,,,,
28,01/10/12 09:24:36 PM,44.379,,,,,
29,01/10/12 09:39:36 PM,44.742,,,,,
30,01/10/12 09:54:36 PM,44.379,,,,,
31,01/10/12 10:09:36 PM,44.742,,,,,
32,01/10/12 10:24:36 PM,44.742,,,,,
33,01/10/12 10:39:36 PM,44.742,,,,,
34,01/10/12 10:54:36 PM,44.195,,,,,
35,01/10/12 11:09:36 PM,44.560,,,,,
36,01/10/12 11:24:36 PM,44.195,,,,,
37,01/10/12 11:39:36 PM,44.195,,,,,
38,01/10/12 11:54:36 PM,44.742,,,,,
39,01/11/12 12:09:36 AM,45.648,,,,,
40,01/11/12 12:24:36 AM,45.286,,,,,
41,01/11/12 12:39:36 AM,44.742,,,,,
42,01/11/12 12:54:36 AM,44.379,,,,,
43,01/11/12 01:09:36 AM,44.742,,,,,
44,01/11/12 01:24:36 AM,44.560,,,,,
45,01/11/12 01:39:36 AM,44.560,,,,,
46,01/11/12 01:54:36 AM,44.379,,,,,
47,01/11/12 02:09:36 AM,44.195,,,,,
48,01/11/12 02:24:36 AM,44.195,,,,,
49,01/11/12 02:39:36 AM,44.195,,,,,
50,01/11/12 02:54:36 AM,44.013,,,,,
51,01/11/12 03:09:36 AM,44.379,,,,,
52,01/11/12 03:24:36 AM,44.742,,,,,
53,01/11/12 03:39:36 AM,45.648,,,,,
54,01/11/12 03:54:36 AM,45.466,,,,,
55,01/11/12 04:09:36 AM,45.286,,,,,
56,01/11/12 04:24:36 AM,44.379,,,,,
57,01/11/12 04:39:36 AM,43.831,,,,,
58,01/11/12 04:54:36 AM,43.466,,,,,
59,01/11/12 05:09:36 AM,43.648,,,,,
60,01/11/12 05:24:36 AM,44.013,,,,,
61,01/11/12 05:39:36 AM,43.831,,,,,
62,01/11/12 05:54:36 AM,43.466,,,,,
63,01/11/12 06:09:36 AM,43.099,,,,,
64,01/11/12 06:24:36 AM,43.099,,,,,
65,01/11/12 06:39:36 AM,43.099,,,,,
66,01/11/12 06:54:36 AM,43.099,,,,,
67,01/11/12 07:09:36 AM,42.732,,,,,
68,01/11/12 07:24:36 AM,42.732,,,,,
69,01/11/12 07:39:36 AM,43.282,,,,,
70,01/11/12 07:54:36 AM,43.648,,,,,
71,01/11/12 08:09:36 AM,42.915,,,,,
72,01/11/12 08:24:36 AM,42.548,,,,,
73,01/11/12 08:39:36 AM,43.466,,,,,
74,01/11/12 08:54:36 AM,44.560,,,,,
75,01/11/12 09:09:36 AM,47.624,,,,,
76,01/11/12 09:24:36 AM,47.624,,,,,
77,01/11/12 09:39:36 AM,48.871,,,,,
78,01/11/12 09:54:36 AM,50.819,,,,,
79,01/11/12 10:09:36 AM,52.925,,,,,
80,01/11/12 10:24:36 AM,55.711,,,,,
81,01/11/12 10:39:36 AM,57.441,,,,,
82,01/11/12 10:54:36 AM,58.476,,,,,
83,01/11/12 11:09:36 AM,59.508,,,,,
84,01/11/12 11:24:36 AM,61.398,,,,,
85,01/11/12 11:39:36 AM,64.996,,,,,
86,01/11/12 11:54:36 AM,63.282,,,,,
87,01/11/12 12:09:36 PM,67.221,,,,,
88,01/11/12 12:24:36 PM,68.421,,,,,
89,01/11/12 12:39:36 PM,70.308,,,,,
90,01/11/12 12:54:36 PM,72.028,,,,,
91,01/11/12 01:09:36 PM,70.651,,,,,
92,01/11/12 01:24:36 PM,71.856,,,,,
93,01/11/12 01:39:36 PM,72.372,,,,,
94,01/11/12 01:54:36 PM,71.683,,,,,
95,01/11/12 02:09:36 PM,68.248,,,,,
96,01/11/12 02:24:36 PM,66.022,,,,,
97,01/11/12 02:39:36 PM,66.022,,,,,
98,01/11/12 02:54:36 PM,67.392,,,,,
99,01/11/12 03:09:36 PM,67.392,,,,,
100,01/11/12 03:24:36 PM,64.652,,,,,
101,01/11/12 03:39:36 PM,62.940,,,,,
102,01/11/12 03:54:36 PM,61.054,,,,,
103,01/11/12 04:09:36 PM,59.508,,,,,
104,01/11/12 04:24:36 PM,57.958,,,,,
105,01/11/12 04:39:36 PM,57.268,,,,,
106,01/11/12 04:54:36 PM,56.230,,,,,
107,01/11/12 05:09:36 PM,55.189,,,,,
108,01/11/12 05:24:36 PM,54.147,,,,,
109,01/11/12 05:39:36 PM,53.100,,,,,
110,01/11/12 05:54:36 PM,53.100,,,,,
111,01/11/12 06:09:36 PM,53.100,,,,,
112,01/11/12 06:24:36 PM,52.750,,,,,
113,01/11/12 06:39:36 PM,52.576,,,,,
114,01/11/12 06:54:36 PM,52.050,,,,,
115,01/11/12 07:09:36 PM,52.576,,,,,
116,01/11/12 07:24:36 PM,52.750,,,,,
117,01/11/12 07:39:36 PM,52.750,,,,,
118,01/11/12 07:54:36 PM,52.401,,,,,
119,01/11/12 08:09:36 PM,51.874,,,,,
120,01/11/12 08:24:36 PM,50.995,,,,,
121,01/11/12 08:39:36 PM,50.466,,,,,
122,01/11/12 08:54:36 PM,51.172,,,,,
123,01/11/12 09:09:36 PM,50.819,,,,,
124,01/11/12 09:24:36 PM,50.643,,,,,
125,01/11/12 09:39:36 PM,50.643,,,,,
126,01/11/12 09:54:36 PM,50.290,,,,,
127,01/11/12 10:09:36 PM,50.113,,,,,
128,01/11/12 10:24:36 PM,49.228,,,,,
129,01/11/12 10:39:36 PM,49.228,,,,,
130,01/11/12 10:54:36 PM,49.582,,,,,
131,01/11/12 11:09:36 PM,48.871,,,,,
132,01/11/12 11:24:36 PM,48.339,,,,,
133,01/11/12 11:39:36 PM,48.160,,,,,
134,01/11/12 11:54:36 PM,47.446,,,,,
135,01/12/12 12:09:36 AM,47.982,,,,,
136,01/12/12 12:24:36 AM,47.624,,,,,
137,01/12/12 12:39:36 AM,47.624,,,,,
138,01/12/12 12:54:36 AM,48.160,,,,,
139,01/12/12 01:09:36 AM,48.517,,,,,
140,01/12/12 01:24:36 AM,47.982,,,,,
141,01/12/12 01:39:36 AM,47.982,,,,,
142,01/12/12 01:54:36 AM,47.802,,,,,
143,01/12/12 02:09:36 AM,47.802,,,,,
144,01/12/12 02:24:36 AM,47.802,,,,,
145,01/12/12 02:39:36 AM,48.160,,,,,
