"Plot Title: UQC"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,03/29/16 01:24:55 PM,,Logged
2,03/29/16 02:24:55 PM,0.00,
3,03/29/16 01:24:55 PM,0.00,
