Date Time	1/100 INCHES OF RAIN
01/21/01 12:41:29.0	0	Start
01/23/01 10:40:41.0	1
01/23/01 10:51:28.5	2
01/23/01 10:59:32.5	3
01/23/01 11:02:48.5	4
01/23/01 11:04:58.0	5
01/23/01 11:04:58.5	6
01/23/01 11:06:12.5	7
01/23/01 11:06:54.5	8
01/23/01 11:07:31.5	9
01/23/01 11:08:53.5	10
01/23/01 11:10:59.0	11
01/23/01 11:19:00.5	12
01/23/01 11:20:20.5	13
01/23/01 11:22:07.5	14
01/23/01 11:23:29.5	15
01/23/01 11:24:56.0	16
01/23/01 11:24:56.5	17
01/23/01 11:26:55.0	18
01/23/01 11:28:48.0	19
01/23/01 11:30:00.0	20
01/23/01 11:33:56.5	21
01/23/01 11:42:09.5	22
01/23/01 11:48:27.5	23
01/23/01 11:51:45.0	24
01/23/01 11:57:23.0	25
01/23/01 12:01:03.5	26
01/23/01 12:04:45.5	27
01/23/01 12:04:46.0	28
01/23/01 12:08:03.0	29
01/23/01 12:14:53.5	30
01/23/01 12:24:56.5	31
01/23/01 12:26:04.0	32
01/23/01 12:27:23.0	33
01/23/01 12:28:49.5	34
01/23/01 12:30:56.0	35
01/23/01 12:33:31.5	36
01/23/01 12:39:51.5	37
01/23/01 12:42:10.5	38
01/23/01 12:45:09.0	39
01/23/01 12:53:40.5	40
01/23/01 12:59:43.5	41
01/23/01 12:59:44.0	42
01/23/01 13:04:41.0	43
01/23/01 13:08:04.0	44
01/23/01 13:24:35.5	45
01/23/01 13:29:06.5	46
01/23/01 13:29:07.0	47
01/23/01 13:35:00.0	48
01/23/01 13:36:43.5	49
01/23/01 13:39:43.5	50
01/23/01 13:40:40.5	51
01/23/01 13:42:05.0	52
01/23/01 13:43:02.5	53
01/23/01 13:44:06.0	54
01/23/01 13:45:45.5	55
01/23/01 13:47:43.0	56
01/23/01 13:49:30.5	57
01/23/01 13:49:31.0	58
01/23/01 13:51:47.0	59
01/23/01 13:52:58.5	60
01/23/01 13:54:12.5	61
01/23/01 13:55:12.5	62
01/23/01 13:56:49.5	63
01/23/01 13:58:36.0	64
01/23/01 14:01:14.5	65
01/23/01 14:01:15.0	66
01/23/01 14:03:33.0	67
01/23/01 14:04:54.0	68
01/23/01 14:05:53.0	69
01/23/01 14:07:57.5	70
01/23/01 14:09:16.5	71
01/23/01 14:10:38.0	72
01/23/01 14:11:22.0	73
01/23/01 14:13:27.0	74
01/23/01 14:19:38.0	75
01/23/01 14:47:00.5	76
01/23/01 14:54:48.0	77
01/23/01 15:07:01.5	78
01/23/01 15:11:58.0	79
01/23/01 15:20:05.0	80
01/23/01 15:43:27.5	81
01/23/01 15:55:48.0	82
01/23/01 16:05:18.0	83
01/23/01 16:12:09.5	84
01/23/01 16:17:50.5	85
01/23/01 16:43:00.5	86
01/23/01 16:43:01.0	87
01/23/01 16:59:26.0	88
01/23/01 18:23:11.0	89
01/24/01 00:02:15.5	90
01/24/01 00:03:03.0	91
01/24/01 00:03:41.0	92
01/24/01 00:05:30.5	93
01/24/01 05:56:39.5	94
01/24/01 07:55:50.5	95
01/24/01 08:23:29.5	96
01/24/01 08:31:44.0	97
01/24/01 08:44:18.0	98
01/24/01 08:54:27.0	99
01/24/01 09:11:09.0	100
01/24/01 11:36:59.5	101
01/24/01 11:39:19.5	101	End
