Date Time	11/24/97 inches of rain
08/07/82 23:34:15.0	198
08/07/82 23:34:27.0	199
08/07/82 23:34:51.0	200
08/07/82 23:35:43.5	201
08/07/82 23:37:16.0	202
08/07/82 23:40:32.5	203
08/07/82 23:43:07.5	204
08/07/82 23:45:59.5	205
08/07/82 23:49:12.0	206
08/07/82 23:51:42.0	207
08/07/82 23:54:20.5	208
08/07/82 23:58:21.5	209
08/08/82 00:02:19.0	210
08/08/82 00:05:11.0	211
08/08/82 00:07:04.0	212
08/08/82 00:09:16.5	213
08/08/82 00:13:19.5	214
08/08/82 00:18:45.0	215
08/08/82 00:23:21.5	216
08/08/82 00:30:16.0	217
08/08/82 00:32:36.0	218
08/08/82 00:37:14.5	219
08/08/82 00:42:48.5	220
08/08/82 00:47:40.5	221
08/08/82 00:53:23.0	222
08/08/82 00:59:59.0	223
08/08/82 02:35:42.0	224
08/08/82 02:37:53.0	225
08/08/82 02:43:33.0	226
08/08/82 02:45:22.0	227
08/08/82 02:46:20.5	228
08/08/82 02:47:43.0	229
08/08/82 02:48:32.5	230
08/08/82 02:49:29.0	231
08/08/82 02:50:21.5	232
08/08/82 02:51:00.5	233
08/08/82 02:51:30.5	234
08/08/82 02:52:01.0	235
08/08/82 02:52:28.0	236
08/08/82 02:53:00.5	237
08/08/82 02:53:23.0	238
08/08/82 02:53:59.0	239
08/08/82 02:54:43.5	240
08/08/82 02:55:34.5	241
08/08/82 02:56:29.0	242
08/08/82 02:58:02.0	243
08/08/82 02:58:45.0	244
08/08/82 02:59:13.0	245
08/08/82 03:00:04.5	246
08/08/82 03:00:42.5	247
08/08/82 03:01:13.5	248
08/08/82 03:01:46.0	249
08/08/82 03:02:33.5	250
08/08/82 03:03:58.0	251
08/08/82 03:05:05.0	252
08/08/82 03:07:12.0	253
08/08/82 03:08:19.5	254
08/08/82 03:09:21.0	255
08/08/82 03:10:34.5	256
08/08/82 03:12:38.0	257
08/08/82 03:13:54.0	258
08/08/82 03:15:17.5	259
08/08/82 03:16:27.0	260
08/08/82 03:17:04.0	261
08/08/82 03:17:42.5	262
08/08/82 03:18:15.0	263
08/08/82 03:18:44.0	264
08/08/82 03:19:02.5	265
08/08/82 03:19:38.5	266
08/08/82 03:21:57.0	267
08/08/82 03:24:54.0	268
08/08/82 03:29:53.0	269
08/08/82 03:34:47.0	270
08/08/82 03:40:07.5	271
08/08/82 03:42:41.0	272
08/08/82 03:44:06.0	273
08/08/82 03:45:39.5	274
08/08/82 03:46:43.0	275
08/08/82 03:48:16.5	276
08/08/82 03:51:08.5	277
08/08/82 03:54:54.0	278
08/08/82 03:59:56.5	279
08/08/82 04:06:12.0	280
08/08/82 04:43:11.0	281
08/08/82 05:11:46.0	282
08/08/82 05:12:37.0	283
08/08/82 05:12:50.5	284
08/08/82 05:13:02.0	285
08/08/82 05:13:08.5	286
08/08/82 05:13:17.0	287
08/08/82 05:13:25.5	288
08/08/82 05:13:35.5	289
08/08/82 05:13:44.0	290
08/08/82 05:13:59.0	291
08/08/82 05:14:12.5	292
08/08/82 05:14:29.5	293
08/08/82 05:14:39.0	294
08/08/82 05:14:47.5	295
08/08/82 05:14:56.5	296
08/08/82 05:15:03.0	297
08/08/82 05:15:09.0	298
08/08/82 05:15:17.0	299
08/08/82 05:15:26.0	300
08/08/82 05:15:33.0	301
08/08/82 05:15:39.5	302
08/08/82 05:15:48.0	303
08/08/82 05:15:56.5	304
08/08/82 05:16:16.0	305
08/08/82 05:16:32.5	306
08/08/82 05:16:44.5	307
08/08/82 05:16:58.0	308
08/08/82 05:17:25.5	309
08/08/82 05:17:59.0	310
08/08/82 05:18:53.0	311
08/08/82 05:19:32.0	312
08/08/82 05:21:00.0	313
08/08/82 05:26:45.5	314
08/08/82 05:27:37.0	315
08/08/82 05:28:08.5	316
08/08/82 05:29:14.0	317
08/08/82 05:30:44.5	318
08/08/82 05:31:20.5	319
08/08/82 05:31:38.5	320
08/08/82 05:31:53.0	321
08/08/82 05:32:14.0	322
08/08/82 05:32:34.0	323
08/08/82 05:32:52.0	324
08/08/82 05:35:05.0	325
08/08/82 06:11:32.0	326
08/08/82 06:21:18.5	327
08/08/82 06:22:25.5	328
08/08/82 06:29:41.5	329
08/08/82 06:30:35.5	330
08/08/82 07:14:58.5	331
08/08/82 07:25:07.5	332
08/08/82 07:32:04.0	333
08/08/82 07:35:25.5	334
08/08/82 07:38:40.5	335
08/08/82 07:47:05.0	336
08/08/82 07:55:56.0	337
08/08/82 07:56:50.5	338
08/08/82 07:58:35.0	339
08/08/82 08:23:04.0	340
08/08/82 08:25:25.5	341
08/08/82 08:51:06.5	342
08/08/82 09:11:32.5	343
08/08/82 09:12:24.0	344
08/08/82 09:14:08.5	345
08/08/82 09:22:30.0	346
08/08/82 12:33:41.5	347
08/08/82 12:47:47.0	348
08/08/82 14:22:19.0	349
08/08/82 14:22:35.0	350
08/08/82 14:22:52.5	351
08/08/82 14:23:06.0	352
08/08/82 14:23:21.5	353
08/08/82 14:23:42.0	354
