Serial Number:     202809     --     Series: Event (Rainfall event data)

Date Time	Event (Rainfall event data)
03/19/11 09:46:48.0	1.53
03/19/11 09:58:38.5	1.54
03/19/11 10:12:38.5	1.55
03/19/11 10:28:59.5	1.56
03/19/11 11:32:40.5	1.57
03/19/11 12:09:29.5	1.58
03/19/11 12:13:33.0	1.59
03/19/11 12:18:28.5	1.6
03/19/11 12:23:54.0	1.61
03/19/11 12:29:35.5	1.62
03/19/11 12:31:59.5	1.63
03/19/11 12:35:28.0	1.64
03/19/11 12:38:56.0	1.65
03/19/11 12:43:37.0	1.66
03/19/11 12:49:02.5	1.67
03/19/11 12:54:46.0	1.68
03/19/11 12:58:59.5	1.69
03/19/11 13:05:29.5	1.7
03/19/11 13:12:12.5	1.71
03/19/11 13:21:50.0	1.72
03/19/11 13:34:27.0	1.73
03/19/11 13:41:28.5	1.74
03/19/11 14:10:14.0	1.75
03/19/11 16:10:22.5	1.76
03/19/11 16:19:00.5	1.77
03/19/11 16:25:34.0	1.78
03/19/11 16:30:30.5	1.79
03/19/11 16:36:28.0	1.8
03/19/11 16:41:20.0	1.81
03/19/11 16:46:36.0	1.82
03/19/11 16:51:28.5	1.83
03/19/11 16:57:40.0	1.84
03/19/11 17:04:00.5	1.85
03/19/11 17:14:17.5	1.86
03/19/11 17:20:10.5	1.87
03/19/11 17:26:22.0	1.88
03/19/11 17:29:57.5	1.89
03/19/11 17:34:01.5	1.9
03/19/11 17:38:44.5	1.91
03/19/11 17:47:09.0	1.92
03/19/11 17:52:16.5	1.93
03/19/11 17:58:59.5	1.94
03/19/11 18:05:23.0	1.95
03/19/11 18:10:48.0	1.96
03/19/11 18:13:06.5	1.97
03/19/11 18:17:53.0	1.98
03/19/11 18:21:34.5	1.99
03/19/11 18:28:44.0	2
03/19/11 18:33:36.0	2.01
03/19/11 18:38:10.0	2.02
03/19/11 18:40:25.5	2.03
03/19/11 18:42:47.5	2.04
03/19/11 18:45:12.0	2.05
03/19/11 18:48:20.0	2.06
03/19/11 18:52:35.5	2.07
03/19/11 18:56:55.5	2.08
03/19/11 18:59:37.5	2.09
03/19/11 19:03:01.0	2.1
03/19/11 19:04:39.5	2.11
03/19/11 19:07:11.0	2.12
03/19/11 19:09:14.5	2.13
03/19/11 19:11:39.5	2.14
03/19/11 19:14:48.5	2.15
03/19/11 19:22:39.0	2.16
03/19/11 19:30:33.0	2.17
03/19/11 19:41:28.5	2.18
03/19/11 19:45:49.0	2.19
03/19/11 19:50:20.0	2.2
03/19/11 19:55:13.0	2.21
03/19/11 19:59:53.5	2.22
03/19/11 20:03:38.5	2.23
03/19/11 20:08:12.5	2.24
03/19/11 20:10:55.5	2.25
