Date Time	Event (Rainfall )
12/08/09 15:20:50.0	0
12/08/09 15:20:52.0	0.0106383
12/08/09 15:20:55.0	0.0212766
12/10/09 17:23:40.0	0.0319149
12/10/09 17:39:50.0	0.0425532
12/10/09 18:06:44.5	0.0531915
12/10/09 18:26:44.5	0.0638298
12/10/09 18:38:02.5	0.0744681
12/10/09 18:42:32.5	0.0851064
12/10/09 18:46:53.0	0.0957447
12/10/09 18:51:25.0	0.106383
12/10/09 18:56:56.0	0.117021
12/10/09 19:04:30.0	0.12766
12/10/09 19:10:06.0	0.138298
12/10/09 19:16:41.0	0.148936
12/10/09 19:23:03.5	0.159575
12/10/09 19:28:24.5	0.170213
12/10/09 19:32:04.0	0.180851
12/10/09 19:35:52.0	0.191489
12/10/09 19:40:17.5	0.202128
12/10/09 19:45:24.0	0.212766
12/10/09 19:50:53.5	0.223404
12/10/09 19:58:30.5	0.234043
12/10/09 20:07:06.5	0.244681
12/10/09 20:14:35.5	0.255319
12/10/09 20:23:18.0	0.265958
12/10/09 20:32:16.5	0.276596
12/10/09 20:41:16.0	0.287234
12/10/09 20:50:50.5	0.297872
12/10/09 20:58:34.0	0.308511
12/10/09 21:02:56.5	0.319149
12/10/09 21:08:08.0	0.329787
12/10/09 21:13:11.0	0.340426
12/10/09 21:17:29.5	0.351064
12/10/09 21:22:43.0	0.361702
12/10/09 21:36:33.0	0.372341
12/10/09 21:51:51.0	0.382979
12/10/09 22:00:29.0	0.393617
12/10/09 22:05:05.0	0.404255
12/10/09 22:13:07.0	0.414894
12/10/09 22:21:23.0	0.425532
12/10/09 22:26:49.5	0.43617
12/10/09 22:33:31.0	0.446809
12/10/09 22:41:47.5	0.457447
12/10/09 23:09:20.0	0.468085
12/10/09 23:22:47.5	0.478724
12/10/09 23:30:55.0	0.489362
12/10/09 23:45:04.0	0.5
12/10/09 23:56:00.0	0.510638
12/11/09 00:16:40.0	0.521277
12/11/09 00:41:22.5	0.531915
12/11/09 01:06:07.0	0.542553
12/11/09 12:49:12.0	0.553192
12/11/09 13:00:42.0	0.56383
12/11/09 13:05:06.5	0.574468
12/11/09 13:09:51.5	0.585107
12/11/09 13:18:53.5	0.595745
12/11/09 13:24:42.0	0.606383
12/11/09 13:29:20.5	0.617021
12/11/09 13:33:02.5	0.62766
12/11/09 14:09:05.0	0.638298
12/11/09 19:01:05.5	0.648936
