Date/Time	Cumulative Precipitation	Event Starts	Storm End	Duration	Time since last rain	Total Precipitation	Total Energy	30-min Amount	30-min Time	EI30	15-min Amount	15-min Time	EI15	60-min Time	60-min Amount	EI60	2-hr Amount	2-hr Time	EI120	24-hour Rain	3-day Rain	7-day Rain	6-hr Amount	6-hr Time	EI360	Year	Gage	Start Date/Time	Cumulative Precipitation	Event Number	Storm End	Duration	Time since last rain	Total Precipitation	Total Energy	30-min Amount	30-min Time	EI30	15-min Amount	15-min time	EI15	60-min Amount	60-min Time	EI60	2-hr Amount	2-hr Time	EI120	24-hour Rain	3-day Rain	7-day Rain	6-hr Amount	6-hr Time	EI360
00:18.5	0.01	Start	10/6/2009 16:01:28	0:01:10	6 days  16:00	0.07	79	0.07	0:01:10	0.118	0.07	0:01:10	0.236	0.07	0:01:10	0.059	0.07	0:01:10	0.030	0.00	0.00	0.00	0.07	0:01:10	0.010	LQC 	RRG_091016	10/13/2009 2:59:36	0.0957	Event Start 1	10/13/2009 21:10:15	18:10:39	6 days  10:58	4.06	2520	0.39	0:29:27	19.839	0.27	0:14:45	26.807	0.60	1:00:00	15.009	0.93	1:59:52	11.660	0.00	0.00	0.09	2.09	5:59:59	8.756
00:20.5	0.02																																																				
00:22.5	0.03																																																				
00:33.0	0.04																																																				
01:12.5	0.05																																																				
01:16.0	0.06																																																				
01:26.5	0.07																																																				
01:28.0	0.09																																																				
59:36.0	0.10	Event Start 1	10/13/2009 21:10:15	18:10:39	6 days  10:58	4.06	2520	0.39	0:29:27	19.839	0.27	0:14:45	26.807	0.60	1:00:00	15.009	0.93	1:59:52	11.660	0.00	0.00	0.09	2.09	5:59:59	8.756																												
14:44.0	0.11																																																				
26:28.5	0.12																																																				
33:24.0	0.13																																																				
40:26.5	0.14																																																				
47:31.5	0.15																																																				
17:07.0	0.16																																																				
49:48.0	0.17																																																				
55:35.5	0.18																																																				
01:57.5	0.19																																																				
09:34.0	0.20																																																				
13:35.0	0.21																																																				
17:55.5	0.22																																																				
20:14.0	0.23																																																				
21:42.0	0.24																																																				
24:06.0	0.26																																																				
25:46.5	0.27																																																				
27:23.5	0.28																																																				
30:00.0	0.29																																																				
32:40.5	0.30																																																				
35:30.0	0.31																																																				
38:28.0	0.32																																																				
40:51.5	0.33																																																				
42:45.5	0.34																																																				
44:32.5	0.35																																																				
45:45.0	0.36																																																				
46:51.5	0.37																																																				
47:48.5	0.38																																																				
49:03.0	0.39																																																				
49:53.5	0.40																																																				
51:12.0	0.41																																																				
52:40.5	0.43																																																				
53:45.5	0.44																																																				
55:34.0	0.45																																																				
56:53.0	0.46																																																				
57:42.0	0.47																																																				
58:16.5	0.48																																																				
58:50.5	0.49																																																				
59:35.0	0.50																																																				
00:43.0	0.51																																																				
01:55.5	0.52																																																				
02:53.0	0.53																																																				
04:37.0	0.54																																																				
05:51.5	0.55																																																				
06:57.0	0.56																																																				
08:24.0	0.57																																																				
10:40.5	0.59																																																				
13:25.0	0.60																																																				
15:48.0	0.61																																																				
17:34.5	0.62																																																				
18:38.5	0.63																																																				
19:31.5	0.64																																																				
20:57.5	0.65																																																				
22:11.5	0.66																																																				
24:05.5	0.67																																																				
26:41.5	0.68																																																				
29:21.5	0.69																																																				
31:24.0	0.70																																																				
33:03.0	0.71																																																				
35:07.5	0.72																																																				
36:50.5	0.73																																																				
39:12.5	0.74																																																				
42:31.5	0.76																																																				
45:27.0	0.77																																																				
50:10.5	0.78																																																				
52:26.5	0.79																																																				
54:01.0	0.80																																																				
55:28.0	0.81																																																				
57:24.5	0.82																																																				
59:27.0	0.83																																																				
01:59.0	0.84																																																				
05:03.0	0.85																																																				
06:27.0	0.86																																																				
07:35.0	0.87																																																				
09:05.0	0.88																																																				
11:04.5	0.89																																																				
17:57.0	0.90																																																				
20:10.5	0.91																																																				
23:02.5	0.93																																																				
28:20.5	0.94																																																				
32:53.0	0.95																																																				
38:54.0	0.96																																																				
41:47.5	0.97																																																				
43:24.5	0.98																																																				
44:50.0	0.99																																																				
46:28.0	1.00																																																				
47:24.5	1.01																																																				
48:12.5	1.02																																																				
49:06.5	1.03																																																				
50:24.5	1.04																																																				
51:47.5	1.05																																																				
53:07.5	1.06																																																				
54:20.0	1.07																																																				
55:30.5	1.09																																																				
56:32.5	1.10																																																				
57:35.5	1.11																																																				
58:51.0	1.12																																																				
00:25.5	1.13																																																				
01:43.5	1.14																																																				
02:58.0	1.15																																																				
03:54.5	1.16																																																				
04:59.0	1.17																																																				
06:05.0	1.18																																																				
07:09.5	1.19																																																				
08:11.0	1.20																																																				
08:51.5	1.21																																																				
09:31.0	1.22																																																				
10:20.5	1.23																																																				
11:28.5	1.24																																																				
12:34.0	1.26																																																				
13:59.5	1.27																																																				
15:14.0	1.28																																																				
15:55.0	1.29																																																				
16:39.0	1.30																																																				
17:54.5	1.31																																																				
19:24.0	1.32																																																				
21:02.5	1.33																																																				
22:13.5	1.34																																																				
23:34.0	1.35																																																				
24:47.5	1.36																																																				
26:07.0	1.37																																																				
27:37.5	1.38																																																				
29:20.0	1.39																																																				
30:42.0	1.40																																																				
32:07.5	1.41																																																				
33:18.0	1.43																																																				
34:20.0	1.44																																																				
35:26.0	1.45																																																				
36:31.5	1.46																																																				
38:23.0	1.47																																																				
39:54.0	1.48																																																				
40:52.5	1.49																																																				
42:22.0	1.50																																																				
43:35.0	1.51																																																				
45:06.5	1.52																																																				
46:25.5	1.53																																																				
47:30.5	1.54																																																				
48:49.5	1.55																																																				
49:57.0	1.56																																																				
51:25.0	1.57																																																				
52:36.0	1.59																																																				
53:56.5	1.60																																																				
55:00.0	1.61																																																				
55:52.5	1.62																																																				
56:29.5	1.63																																																				
57:19.0	1.64																																																				
58:19.5	1.65																																																				
59:28.5	1.66																																																				
00:48.5	1.67																																																				
03:19.5	1.68																																																				
05:17.0	1.69																																																				
08:05.5	1.70																																																				
10:45.0	1.71																																																				
12:52.5	1.72																																																				
14:22.0	1.73																																																				
15:24.0	1.74																																																				
16:31.5	1.76																																																				
17:28.5	1.77																																																				
18:30.5	1.78																																																				
19:48.0	1.79																																																				
21:21.5	1.80																																																				
23:13.5	1.81																																																				
24:46.0	1.82																																																				
26:40.0	1.83																																																				
28:46.0	1.84																																																				
31:10.0	1.85																																																				
33:03.0	1.86																																																				
35:28.5	1.87																																																				
38:08.0	1.88																																																				
40:22.0	1.89																																																				
43:16.0	1.90																																																				
46:09.0	1.91																																																				
49:01.5	1.93																																																				
51:48.5	1.94																																																				
53:56.0	1.95																																																				
55:34.5	1.96																																																				
57:26.0	1.97																																																				
59:04.5	1.98																																																				
00:31.0	1.99																																																				
01:54.5	2.00																																																				
03:08.5	2.01																																																				
04:32.0	2.02																																																				
06:20.5	2.03																																																				
08:41.5	2.04																																																				
10:49.0	2.05																																																				
12:06.5	2.06																																																				
14:02.5	2.07																																																				
16:13.0	2.09																																																				
17:31.0	2.10																																																				
18:45.0	2.11																																																				
20:36.0	2.12																																																				
23:33.5	2.13																																																				
25:12.0	2.14																																																				
28:03.5	2.15																																																				
29:12.0	2.16																																																				
31:23.5	2.17																																																				
35:16.5	2.18																																																				
36:47.5	2.19																																																				
38:14.5	2.20																																																				
42:14.5	2.21																																																				
46:33.5	2.22																																																				
54:37.5	2.23																																																				
04:29.5	2.24																																																				
08:24.5	2.26																																																				
12:25.5	2.27																																																				
15:26.5	2.28																																																				
18:32.5	2.29																																																				
22:25.0	2.30																																																				
26:14.0	2.31																																																				
30:49.5	2.32																																																				
33:46.0	2.33																																																				
34:57.5	2.34																																																				
35:35.0	2.35																																																				
36:38.5	2.36																																																				
37:42.5	2.37																																																				
