Date Time	991108 start
11/08/99 16:18:44.0	0	Start
11/09/99 10:37:02.5	1
11/09/99 10:37:27.0	2
11/09/99 10:37:29.5	3
11/09/99 10:37:31.5	4
11/09/99 10:38:01.0	5
11/09/99 10:38:02.0	6
11/09/99 10:38:02.5	7
11/09/99 10:38:03.5	8
11/09/99 10:38:04.5	9
11/09/99 10:38:05.0	10
11/09/99 10:38:05.5	11
11/09/99 10:38:06.5	12
11/09/99 10:38:07.5	13
11/09/99 10:38:08.5	14
11/09/99 10:38:09.5	15
11/09/99 10:38:10.0	16
11/09/99 10:38:10.5	17
11/09/99 10:38:11.0	18
11/09/99 10:38:11.5	19
11/09/99 10:38:12.0	20
11/09/99 10:38:12.5	21
11/09/99 10:38:13.0	22
11/09/99 10:38:13.5	23
11/09/99 10:38:15.0	24
11/09/99 10:38:15.5	25
11/09/99 10:38:17.5	26
11/09/99 10:38:32.5	27
11/09/99 10:38:35.5	28
11/09/99 10:38:37.0	29
11/09/99 10:38:44.0	30
11/09/99 10:38:47.5	31
11/09/99 10:38:49.0	32
11/09/99 10:38:50.0	33
11/09/99 10:38:50.5	34
11/09/99 10:38:51.0	35
11/09/99 10:38:52.0	36
11/09/99 10:38:52.5	37
11/09/99 10:38:53.0	38
11/09/99 10:39:50.0	39
11/09/99 10:40:04.5	40
11/09/99 10:40:12.0	41
11/09/99 10:40:12.5	42
11/09/99 10:40:13.5	43
11/09/99 10:40:15.0	44
11/09/99 10:40:16.0	45
11/09/99 10:40:16.5	46
11/09/99 10:40:17.0	47
11/09/99 10:40:27.5	48
11/09/99 10:40:36.5	49
11/09/99 10:40:37.5	50
11/09/99 10:40:45.0	51
11/09/99 10:40:47.5	52
11/09/99 10:40:51.0	53
11/09/99 10:40:52.5	54
11/09/99 10:40:54.0	55
11/09/99 10:41:21.5	56
11/09/99 10:41:24.0	57
11/09/99 10:41:24.5	58
11/09/99 10:41:25.5	59
11/09/99 10:41:27.5	60
11/09/99 10:41:37.5	61
11/09/99 10:41:48.0	62
11/09/99 10:41:49.0	63
11/09/99 10:41:49.5	64
11/09/99 10:41:53.0	65
11/09/99 10:42:03.0	66
11/09/99 10:42:30.0	67
11/09/99 10:43:01.5	68
11/09/99 10:57:45.5	69
11/09/99 10:57:46.5	70
11/09/99 10:57:48.5	71
11/09/99 10:58:08.5	72
11/09/99 11:53:53.5	73
11/09/99 11:54:14.5	74
11/09/99 11:54:17.0	75
11/09/99 11:54:18.0	76
11/09/99 11:54:18.5	77
11/09/99 11:54:19.0	78
11/09/99 11:54:19.5	79
11/09/99 11:54:20.0	80
11/09/99 11:54:21.5	81
11/09/99 11:54:28.0	82
11/09/99 11:54:28.5	83
11/09/99 11:54:29.0	84
11/09/99 11:54:30.5	85
11/09/99 11:54:31.0	86
11/09/99 11:54:38.5	87
11/09/99 11:54:39.5	88
11/09/99 11:54:42.5	89
11/09/99 11:54:52.5	90
11/09/99 11:54:53.0	91
11/09/99 11:55:52.0	92
11/09/99 11:58:46.5	93
11/09/99 11:58:47.0	94
11/09/99 11:58:47.5	95
11/09/99 11:58:51.0	96
11/12/99 10:36:18.5	97
11/12/99 10:36:19.0	98
11/12/99 10:51:26.0	99
11/12/99 10:51:26.5	100
11/12/99 11:35:40.5	101
11/16/99 10:17:26.0	101	End
