Serial Number:     532217     --     Series: Event (Events)

Date Time	Event (Events)
10/19/10 10:30:48.0	0
10/21/10 22:59:33.5	0.01
10/21/10 23:46:10.0	0.02
10/21/10 23:58:09.0	0.03
10/22/10 00:03:09.5	0.04
10/22/10 00:08:30.0	0.05
10/22/10 00:13:11.5	0.06
10/22/10 00:16:10.5	0.07
10/22/10 00:22:10.5	0.08
10/22/10 08:15:46.5	0.09
10/22/10 08:39:59.0	0.1
10/22/10 17:05:26.0	0.11
10/22/10 17:24:42.0	0.12
10/22/10 19:31:04.0	0.13
10/23/10 14:58:08.0	0.14
10/23/10 15:20:33.0	0.15
10/23/10 15:35:45.5	0.16
10/23/10 15:43:18.0	0.17
10/23/10 15:54:09.5	0.18
10/23/10 15:58:39.0	0.19
10/23/10 16:03:06.0	0.2
10/23/10 16:09:11.5	0.21
10/23/10 16:13:54.0	0.22
10/23/10 16:20:17.5	0.23
10/23/10 16:25:17.0	0.24
10/23/10 16:28:38.0	0.25
10/23/10 16:33:43.5	0.26
10/23/10 16:37:28.5	0.27
10/23/10 16:44:00.5	0.28
10/23/10 16:49:57.0	0.29
10/23/10 17:14:38.5	0.3
10/23/10 17:22:25.0	0.31
10/23/10 17:29:05.5	0.32
10/23/10 17:39:18.5	0.33
10/23/10 17:47:01.5	0.34
10/23/10 17:53:34.0	0.35
10/23/10 18:04:39.5	0.36
10/23/10 18:08:42.0	0.37
10/23/10 18:12:28.0	0.38
10/23/10 18:16:25.5	0.39
10/23/10 18:24:00.0	0.4
10/23/10 18:30:24.0	0.41
10/23/10 18:35:21.5	0.42
10/23/10 18:41:29.0	0.43
10/23/10 18:47:38.0	0.44
10/23/10 18:52:50.5	0.45
10/23/10 19:01:50.5	0.46
10/23/10 19:06:26.5	0.47
10/23/10 19:09:55.0	0.48
10/23/10 19:14:31.5	0.49
10/23/10 19:24:24.5	0.5
10/23/10 19:33:48.5	0.51
10/23/10 19:42:36.5	0.52
10/23/10 19:47:07.0	0.53
10/23/10 19:53:50.0	0.54
10/23/10 19:57:30.5	0.55
10/23/10 20:01:18.0	0.56
10/23/10 20:06:53.0	0.57
10/23/10 20:14:27.0	0.58
10/23/10 20:18:27.0	0.59
10/23/10 20:23:15.0	0.6
10/23/10 20:28:45.5	0.61
10/23/10 20:46:20.5	0.62
10/23/10 20:57:12.0	0.63
10/23/10 21:14:15.0	0.64
10/23/10 21:32:43.0	0.65
10/23/10 21:47:34.0	0.66
10/23/10 21:56:21.0	0.67
10/23/10 22:11:20.0	0.68
10/23/10 22:23:51.0	0.69
10/23/10 22:40:33.5	0.7
10/23/10 22:50:47.5	0.71
10/23/10 23:19:13.0	0.72
10/23/10 23:44:05.0	0.73
10/24/10 00:08:47.5	0.74
10/24/10 00:19:19.0	0.75
10/24/10 00:29:20.5	0.76
10/24/10 00:51:43.5	0.77
10/24/10 01:10:21.0	0.78
10/24/10 01:27:38.5	0.79
10/24/10 01:43:58.5	0.8
10/24/10 01:57:15.0	0.81
10/24/10 02:09:09.0	0.82
10/24/10 02:22:17.5	0.83
10/24/10 02:39:03.5	0.84
10/24/10 02:50:30.5	0.85
10/24/10 03:03:29.5	0.86
10/24/10 03:07:42.0	0.87
10/24/10 03:13:54.0	0.88
10/24/10 03:17:28.5	0.89
10/24/10 03:23:46.5	0.9
10/24/10 03:30:25.5	0.91
10/24/10 03:39:51.0	0.92
10/24/10 03:45:20.5	0.93
10/24/10 03:53:05.5	0.94
10/24/10 03:55:09.5	0.95
