Serial Number:     392387     --     Series: Event (Rainfall Event)

Date Time	Event (Rainfall Event)
11/09/11 18:00:00.0	0
11/11/11 08:10:14.5	0.0096
11/11/11 08:15:15.0	0.0192
11/11/11 08:17:11.0	0.0288
11/11/11 08:18:30.5	0.0384
11/11/11 08:20:19.0	0.048
11/11/11 08:22:24.5	0.0576
11/11/11 08:25:37.0	0.0672
11/11/11 08:29:29.0	0.0768
11/11/11 08:32:09.5	0.0864
11/11/11 08:33:53.5	0.096
11/11/11 08:36:06.0	0.1056
11/11/11 08:37:56.0	0.1152
11/11/11 08:40:27.5	0.1248
11/11/11 08:42:06.5	0.1344
11/11/11 08:50:13.5	0.144
11/11/11 09:28:59.0	0.1535
11/11/11 09:45:21.5	0.1631
11/11/11 09:52:07.5	0.1727
11/11/11 09:58:49.0	0.1823
11/11/11 10:05:29.0	0.1919
11/11/11 10:11:40.5	0.2015
11/11/11 10:18:03.5	0.2111
11/11/11 12:27:42.5	0.2207
11/11/11 12:32:31.5	0.2303
11/11/11 12:42:41.0	0.2399
11/11/11 12:54:57.0	0.2495
11/11/11 13:47:42.5	0.2591
11/11/11 13:52:35.5	0.2687
11/11/11 14:52:14.5	0.2783
11/11/11 14:53:16.5	0.2879
11/11/11 14:54:12.5	0.2975
11/11/11 14:55:07.0	0.3071
11/11/11 14:56:21.5	0.3167
11/11/11 14:57:29.5	0.3263
11/11/11 14:59:26.0	0.3359
11/11/11 15:00:59.0	0.3455
11/11/11 15:07:43.0	0.3551
11/11/11 15:11:42.0	0.3647
11/11/11 15:33:47.5	0.3743
11/11/11 15:35:59.0	0.3839
11/11/11 15:41:58.5	0.3935
11/11/11 15:48:52.0	0.4031
11/11/11 15:52:50.0	0.4127
11/11/11 15:55:56.0	0.4223
11/11/11 16:03:31.0	0.4319
11/11/11 16:06:54.0	0.4414
11/11/11 16:11:06.5	0.451
11/11/11 16:12:35.0	0.4606
11/11/11 16:14:56.0	0.4702
11/11/11 16:16:48.0	0.4798
11/11/11 16:18:45.0	0.4894
11/11/11 16:21:42.0	0.499
11/11/11 16:33:52.5	0.5086
11/11/11 16:43:18.5	0.5182
11/11/11 16:48:40.5	0.5278
11/11/11 16:50:39.0	0.5374
11/11/11 16:53:00.5	0.547
11/11/11 16:54:08.5	0.5566
11/11/11 16:55:20.0	0.5662
11/11/11 16:56:37.0	0.5758
11/11/11 16:57:44.5	0.5854
11/11/11 16:59:07.0	0.595
11/11/11 17:01:49.0	0.6046
11/11/11 17:04:19.0	0.6142
11/11/11 17:06:18.0	0.6238
11/11/11 17:07:41.0	0.6334
11/11/11 17:09:07.0	0.643
11/11/11 17:11:46.0	0.6526
11/11/11 17:14:30.0	0.6622
11/11/11 17:16:05.5	0.6718
11/11/11 17:18:44.0	0.6814
11/11/11 17:21:19.0	0.691
11/11/11 17:23:45.5	0.7006
11/11/11 17:24:56.0	0.7102
11/11/11 17:25:36.5	0.7198
11/11/11 17:26:20.0	0.7293
11/11/11 17:27:24.0	0.7389
11/11/11 17:28:13.0	0.7485
11/11/11 17:29:59.0	0.7581
11/11/11 17:30:52.5	0.7677
11/11/11 17:31:28.0	0.7773
11/11/11 17:32:50.5	0.7869
11/11/11 17:35:06.5	0.7965
11/11/11 17:36:31.5	0.8061
11/11/11 17:38:42.0	0.8157
11/11/11 17:41:03.0	0.8253
11/11/11 17:42:29.0	0.8349
11/11/11 17:43:32.5	0.8445
11/11/11 17:45:12.5	0.8541
11/11/11 17:46:32.0	0.8637
11/11/11 17:48:32.5	0.8733
11/11/11 17:49:10.5	0.8829
11/11/11 17:49:56.0	0.8925
11/11/11 17:50:27.5	0.9021
11/11/11 17:51:15.0	0.9117
11/11/11 17:51:50.5	0.9213
11/11/11 17:52:58.0	0.9309
11/11/11 17:54:22.0	0.9405
11/11/11 17:55:49.5	0.9501
11/11/11 17:56:49.5	0.9597
11/11/11 17:58:00.5	0.9693
11/11/11 17:59:20.0	0.9789
11/11/11 18:00:38.5	0.9885
11/11/11 18:01:51.5	0.9981
11/11/11 18:02:58.0	1.0077
11/11/11 18:03:47.5	1.0173
11/11/11 18:05:30.0	1.0268
11/11/11 18:10:15.5	1.0364
11/11/11 18:25:08.5	1.046
11/15/11 09:27:58.5	1.046
