Date Time	Event (Events)
01/26/10 16:21:11.0	0
01/29/10 16:14:50.5	0.0108696
01/29/10 16:18:33.0	0.0217392
01/29/10 16:21:40.0	0.0326088
01/29/10 16:24:12.0	0.0434784
01/29/10 16:29:22.0	0.054348
01/29/10 16:32:20.5	0.0652176
01/29/10 16:34:32.0	0.0760872
01/29/10 16:36:17.0	0.0869568
01/29/10 16:38:06.5	0.0978264
01/29/10 16:39:25.0	0.108696
01/29/10 16:40:24.0	0.119566
01/29/10 16:41:20.5	0.130435
01/29/10 16:42:42.5	0.141305
01/29/10 16:44:27.5	0.152174
01/29/10 16:46:38.5	0.163044
01/29/10 16:48:16.5	0.173914
01/29/10 16:49:55.0	0.184783
01/29/10 16:50:45.0	0.195653
01/29/10 16:51:44.5	0.206522
01/29/10 16:54:09.5	0.217392
01/29/10 16:56:55.0	0.228262
01/29/10 16:58:17.0	0.239131
01/29/10 16:59:14.0	0.250001
01/29/10 16:59:55.0	0.26087
01/29/10 17:01:14.0	0.27174
01/29/10 17:02:55.0	0.28261
01/29/10 17:05:26.5	0.293479
01/29/10 17:09:05.0	0.304349
01/29/10 17:11:46.0	0.315218
01/29/10 17:13:21.5	0.326088
01/29/10 17:17:29.5	0.336958
01/29/10 17:21:55.0	0.347827
01/29/10 17:28:04.0	0.358697
01/29/10 17:33:22.0	0.369566
01/29/10 17:38:31.0	0.380436
01/29/10 17:42:42.0	0.391306
01/29/10 17:46:38.5	0.402175
01/29/10 17:49:23.0	0.413045
01/29/10 17:56:02.5	0.423914
01/29/10 18:03:05.0	0.434784
01/29/10 18:07:25.5	0.445654
01/29/10 18:13:34.5	0.456523
01/29/10 18:31:41.0	0.467393
01/29/10 19:53:03.5	0.478262
01/29/10 19:53:28.0	0.489132
01/29/10 19:53:51.5	0.500002
01/29/10 19:54:07.5	0.510871
01/29/10 19:54:20.5	0.521741
01/29/10 20:26:23.0	0.53261
01/29/10 20:27:54.0	0.54348
01/29/10 20:28:34.5	0.55435
01/29/10 20:29:13.5	0.565219
01/29/10 20:30:43.5	0.576089
01/30/10 03:24:05.5	0.586958
02/02/10 10:42:57.0	0.586958
