Serial Number:     532217     --     Series: Event (rainfall)

Date Time	Event (rainfall)
11/23/10 10:17:05.0	0
11/23/10 10:47:55.5	0.01
11/23/10 10:56:28.5	0.02
11/23/10 10:57:38.0	0.03
11/23/10 10:58:55.5	0.04
11/23/10 10:59:59.5	0.05
11/23/10 11:01:25.0	0.06
11/23/10 11:18:38.5	0.07
11/27/10 07:02:49.5	0.08
11/27/10 07:12:22.0	0.09
11/27/10 07:14:32.0	0.1
11/27/10 07:17:56.5	0.11
11/27/10 07:19:42.0	0.12
11/27/10 07:23:23.5	0.13
11/27/10 07:26:33.5	0.14
11/27/10 07:28:56.0	0.15
11/27/10 07:31:43.5	0.16
11/27/10 07:33:41.0	0.17
11/27/10 07:35:38.0	0.18
11/27/10 07:38:54.0	0.19
11/27/10 07:41:27.0	0.2
11/27/10 07:44:31.5	0.21
11/27/10 07:47:46.0	0.22
11/27/10 07:51:38.5	0.23
11/27/10 07:56:37.0	0.24
11/27/10 08:01:15.5	0.25
11/27/10 08:05:01.0	0.26
11/27/10 08:08:49.0	0.27
11/27/10 08:11:37.5	0.28
11/27/10 08:14:21.5	0.29
11/27/10 08:17:28.5	0.3
11/27/10 08:27:17.0	0.31
11/27/10 08:31:26.0	0.32
11/27/10 08:35:06.5	0.33
11/27/10 08:38:28.0	0.34
11/27/10 08:43:43.0	0.35
11/27/10 08:47:19.0	0.36
11/27/10 08:51:26.0	0.37
11/27/10 08:54:02.5	0.38
11/27/10 08:59:09.0	0.39
11/27/10 09:08:20.0	0.4
11/27/10 09:13:34.0	0.41
11/27/10 09:16:28.0	0.42
11/27/10 09:18:27.5	0.43
11/27/10 09:19:54.5	0.44
11/27/10 09:21:58.5	0.45
11/27/10 09:24:48.5	0.46
11/27/10 09:27:59.5	0.47
11/27/10 09:30:12.5	0.48
11/27/10 09:32:51.0	0.49
11/27/10 09:37:08.0	0.5
11/27/10 11:35:26.5	0.51
11/27/10 11:43:14.0	0.52
11/27/10 11:46:34.0	0.53
11/27/10 11:56:17.5	0.54
11/27/10 12:49:18.5	0.55
11/30/10 11:18:51.0	0.56
11/30/10 11:18:53.5	0.56
