Serial Number:      10024     --     Series: Event (rain bucket tip)			

Date Time	Event (Events)	Tip Value	Cumulative
12/8/2010 17:22:10	0.23	0.01	1.27
12/8/2010 17:26:59	0.24	0.01	1.28
12/8/2010 17:31:33	0.25	0.01	1.29
12/8/2010 17:35:17	0.26	0.01	1.3
12/8/2010 17:37:34	0.27	0.01	1.31
12/8/2010 17:39:46	0.28	0.01	1.32
12/8/2010 17:42:20	0.29	0.01	1.33
12/8/2010 17:44:30	0.3	0.01	1.34
12/8/2010 17:46:18	0.31	0.01	1.35
12/8/2010 17:48:02	0.32	0.01	1.36
12/8/2010 17:50:06	0.33	0.01	1.37
12/8/2010 17:53:04	0.34	0.01	1.38
12/8/2010 17:55:45	0.35	0.01	1.39
12/8/2010 17:58:11	0.36	0.01	1.4
12/8/2010 18:02:14	0.37	0.01	1.41
12/8/2010 18:18:28	0.38	0.01	1.42
12/8/2010 18:27:18	0.39	0.01	1.43
12/8/2010 18:31:39	0.4	0.01	1.44
12/8/2010 18:36:48	0.41	0.01	1.45
12/8/2010 18:40:21	0.42	0.01	1.46
12/8/2010 18:45:17	0.43	0.01	1.47
12/8/2010 18:50:14	0.44	0.01	1.48
12/8/2010 18:54:13	0.45	0.01	1.49
12/8/2010 18:59:19	0.46	0.01	1.5
12/8/2010 19:03:34	0.47	0.01	1.51
12/8/2010 19:06:40	0.48	0.01	1.52
12/8/2010 19:11:36	0.49	0.01	1.53
12/8/2010 19:17:47	0.5	0.01	1.54
12/8/2010 19:22:17	0.51	0.01	1.55
12/8/2010 19:29:38	0.52	0.01	1.56
12/8/2010 19:41:16	0.53	0.01	1.57
12/8/2010 19:50:33	0.54	0.01	1.58
12/8/2010 19:58:41	0.55	0.01	1.59
12/8/2010 20:04:32	0.56	0.01	1.6
12/8/2010 20:09:19	0.57	0.01	1.61
12/8/2010 20:13:27	0.58	0.01	1.62
12/8/2010 20:18:08	0.59	0.01	1.63
12/8/2010 20:23:13	0.6	0.01	1.64
12/8/2010 20:29:05	0.61	0.01	1.65
12/8/2010 20:34:38	0.62	0.01	1.66
12/8/2010 20:40:27	0.63	0.01	1.67
12/8/2010 20:44:24	0.64	0.01	1.68
12/8/2010 20:48:02	0.65	0.01	1.69
12/8/2010 20:52:23	0.66	0.01	1.7
12/8/2010 20:56:28	0.67	0.01	1.71
12/8/2010 21:03:34	0.68	0.01	1.72
12/8/2010 21:10:34	0.69	0.01	1.73
12/8/2010 21:18:26	0.7	0.01	1.74
12/8/2010 21:23:43	0.71	0.01	1.75
12/8/2010 21:29:12	0.72	0.01	1.76
12/8/2010 21:32:38	0.73	0.01	1.77
12/8/2010 21:37:33	0.74	0.01	1.78
12/8/2010 21:47:25	0.75	0.01	1.79
12/8/2010 21:55:03	0.76	0.01	1.8
12/8/2010 22:02:34	0.77	0.01	1.81
12/8/2010 22:09:19	0.78	0.01	1.82
12/8/2010 22:13:22	0.79	0.01	1.83
12/8/2010 22:16:44	0.8	0.01	1.84
12/8/2010 22:21:00	0.81	0.01	1.85
12/8/2010 22:25:03	0.82	0.01	1.86
12/8/2010 22:28:47	0.83	0.01	1.87
12/8/2010 22:31:31	0.84	0.01	1.88
12/8/2010 22:36:16	0.85	0.01	1.89
12/8/2010 22:40:22	0.86	0.01	1.9
12/8/2010 22:46:56	0.87	0.01	1.91
12/8/2010 22:51:20	0.88	0.01	1.92
12/8/2010 22:57:15	0.89	0.01	1.93
12/8/2010 23:00:24	0.9	0.01	1.94
12/8/2010 23:08:55	0.91	0.01	1.95
12/8/2010 23:17:20	0.92	0.01	1.96
12/8/2010 23:30:27	0.93	0.01	1.97
12/8/2010 23:38:39	0.94	0.01	1.98
12/8/2010 23:43:29	0.95	0.01	1.99
12/8/2010 23:49:36	0.96	0.01	2
12/9/2010 0:02:18	0.97	0.01	2.01
12/9/2010 0:17:46	0.98	0.01	2.02
12/9/2010 0:34:36	0.99	0.01	2.03
12/9/2010 0:57:03	1	0.01	2.04
12/9/2010 1:13:42	1.01	0.01	2.05
12/9/2010 3:56:40	1.02	0.01	2.06
12/9/2010 8:09:04	1.03	0.01	2.07
12/9/2010 8:49:47	1.04	0.01	2.08
12/9/2010 9:20:14	1.05	0.01	2.09
12/9/2010 23:22:16	1.06	0.01	2.1
12/9/2010 23:55:58	1.07	0.01	2.11
12/10/2010 0:17:42	1.08	0.01	2.12
12/10/2010 0:39:39	1.09	0.01	2.13
12/10/2010 0:53:44	1.1	0.01	2.14
12/10/2010 1:38:07	1.11	0.01	2.15
12/10/2010 3:29:16	1.12	0.01	2.16
12/10/2010 4:19:08	1.13	0.01	2.17
12/10/2010 5:08:19	1.14	0.01	2.18
12/10/2010 8:48:28	1.15	0.01	2.19
12/10/2010 12:45:03	1.16	0.01	2.2
12/10/2010 13:00:52	1.17	0.01	2.21
12/10/2010 16:14:09	1.18	0.01	2.22
12/12/2010 3:35:06	1.19	0.01	2.23
12/14/2010 5:28:44	1.2	0.01	2.24
12/14/2010 5:33:23	1.21	0.01	2.25
12/14/2010 5:36:42	1.22	0.01	2.26
12/14/2010 5:48:30	1.23	0.01	2.27
12/14/2010 6:18:41	1.24	0.01	2.28
12/14/2010 6:45:59	1.25	0.01	2.29
12/14/2010 6:51:57	1.26	0.01	2.3
12/14/2010 7:03:47	1.27	0.01	2.31
12/14/2010 7:11:12	1.28	0.01	2.32
12/14/2010 7:13:42	1.29	0.01	2.33
12/14/2010 7:17:54	1.3	0.01	2.34
