Date Time	Event (Events)
01/05/10 09:41:14.0	0
01/05/10 09:41:27.0	0.0108696
01/12/10 01:37:22.5	0.0217392
01/12/10 01:59:41.5	0.0326088
01/12/10 02:09:07.0	0.0434784
01/12/10 02:13:49.5	0.054348
01/12/10 02:14:30.5	0.0652176
01/12/10 02:15:58.5	0.0760872
01/12/10 02:19:17.5	0.0869568
01/12/10 02:24:51.5	0.0978264
01/12/10 02:25:57.0	0.108696
01/12/10 02:26:41.5	0.119566
01/12/10 02:27:37.0	0.130435
01/12/10 02:28:42.0	0.141305
01/12/10 02:30:05.0	0.152174
01/12/10 02:31:33.5	0.163044
01/12/10 02:32:46.0	0.173914
01/12/10 02:34:14.5	0.184783
01/12/10 02:35:31.5	0.195653
01/12/10 02:36:28.5	0.206522
01/12/10 02:37:29.0	0.217392
01/12/10 02:38:18.0	0.228262
01/12/10 02:39:10.0	0.239131
01/12/10 02:40:09.0	0.250001
01/12/10 02:40:53.5	0.26087
01/12/10 02:41:29.5	0.27174
01/12/10 02:42:17.5	0.28261
01/12/10 02:43:14.5	0.293479
01/12/10 02:44:21.5	0.304349
01/12/10 02:45:58.5	0.315218
01/12/10 02:47:31.5	0.326088
01/12/10 02:48:48.5	0.336958
01/12/10 02:50:36.5	0.347827
01/12/10 02:52:04.0	0.358697
01/12/10 02:53:48.0	0.369566
01/12/10 02:55:31.5	0.380436
01/12/10 02:57:05.0	0.391306
01/12/10 02:58:37.5	0.402175
01/12/10 03:00:47.5	0.413045
01/12/10 03:02:26.0	0.423914
01/12/10 03:03:36.0	0.434784
01/12/10 03:04:40.5	0.445654
01/12/10 03:06:00.5	0.456523
01/12/10 03:07:30.5	0.467393
01/12/10 03:09:12.0	0.478262
01/12/10 03:11:10.5	0.489132
01/12/10 03:13:02.5	0.500002
01/12/10 03:14:13.5	0.510871
01/12/10 03:15:37.0	0.521741
01/12/10 03:17:12.5	0.53261
01/12/10 03:18:27.0	0.54348
01/12/10 03:20:33.5	0.55435
01/12/10 03:23:26.0	0.565219
01/12/10 03:26:25.5	0.576089
01/12/10 03:32:29.0	0.586958
01/12/10 03:34:53.0	0.597828
01/12/10 03:37:29.0	0.608698
01/12/10 03:40:57.0	0.619567
01/12/10 03:43:08.0	0.630437
01/12/10 03:44:31.0	0.641306
01/12/10 03:46:26.0	0.652176
01/12/10 03:48:20.0	0.663046
01/12/10 03:49:25.5	0.673915
01/12/10 03:50:18.0	0.684785
01/12/10 03:51:15.5	0.695654
01/12/10 03:52:17.0	0.706524
01/12/10 03:54:18.5	0.717394
01/12/10 03:56:13.0	0.728263
01/12/10 03:57:49.5	0.739133
01/12/10 03:59:06.0	0.750002
01/12/10 04:01:14.5	0.760872
01/12/10 04:04:58.0	0.771742
01/12/10 04:15:08.0	0.782611
01/12/10 04:16:28.0	0.793481
01/12/10 04:18:41.0	0.80435
01/12/10 04:20:21.5	0.81522
01/12/10 04:21:50.5	0.82609
01/12/10 04:24:12.0	0.836959
01/12/10 04:27:16.0	0.847829
01/12/10 04:29:11.0	0.858698
01/12/10 04:32:01.0	0.869568
01/12/10 04:34:11.0	0.880438
01/12/10 04:35:59.5	0.891307
01/12/10 04:37:30.5	0.902177
01/12/10 04:39:08.5	0.913046
01/12/10 04:40:24.0	0.923916
01/12/10 04:43:48.5	0.934786
01/12/10 04:53:25.5	0.945655
01/12/10 04:55:15.0	0.956525
01/12/10 04:55:53.5	0.967394
01/12/10 04:57:01.5	0.978264
01/12/10 04:58:06.5	0.989134
01/12/10 04:59:20.5	1
01/12/10 05:05:11.5	1.01087
01/12/10 06:51:28.5	1.02174
01/12/10 07:32:03.5	1.03261
01/12/10 10:16:05.0	1.04348
01/12/10 10:16:36.0	1.04348
