Date Time	Event (Events)
12/15/09 16:31:03.0	0
12/15/09 16:31:24.0	0.0108696
12/16/09 09:04:57.0	0.0217392
12/16/09 09:20:12.5	0.0326088
12/16/09 09:40:41.0	0.0434784
12/16/09 10:40:35.0	0.054348
12/16/09 10:57:48.0	0.0652176
12/16/09 11:32:49.5	0.0760872
12/16/09 12:40:00.5	0.0869568
12/17/09 03:26:02.5	0.0978264
12/21/09 08:11:05.5	0.108696
12/21/09 11:26:27.5	0.119566
12/21/09 12:05:51.0	0.130435
12/21/09 12:11:00.5	0.141305
12/21/09 12:17:02.5	0.152174
12/21/09 12:25:05.5	0.163044
12/21/09 12:39:22.0	0.173914
12/21/09 13:07:34.5	0.184783
12/21/09 13:11:35.5	0.195653
12/21/09 13:15:46.5	0.206522
12/21/09 13:39:30.5	0.217392
12/21/09 16:57:19.5	0.228262
12/21/09 18:53:45.0	0.239131
12/21/09 19:07:04.0	0.250001
12/21/09 20:14:15.5	0.26087
12/21/09 20:16:05.5	0.27174
12/21/09 20:19:52.0	0.28261
12/21/09 20:52:12.5	0.293479
12/21/09 21:09:39.5	0.304349
12/21/09 21:27:50.5	0.315218
12/22/09 15:24:08.5	0.315218
