Serial Number:     202809     --     Series: Event (Rainfall event data)

Date Time	Event (Rainfall event data)
02/01/11 13:17:33.0	0
02/14/11 04:07:55.0	0.01
02/14/11 04:15:51.5	0.02
02/14/11 04:19:47.5	0.03
02/14/11 04:23:55.5	0.04
02/14/11 04:29:21.0	0.05
02/14/11 04:38:27.5	0.06
02/14/11 04:47:51.5	0.07
02/14/11 05:16:00.5	0.08
02/14/11 05:33:00.0	0.09
02/14/11 05:48:38.0	0.1
02/14/11 06:00:02.0	0.11
02/14/11 06:34:34.5	0.12
02/14/11 06:54:32.0	0.13
02/14/11 07:10:54.5	0.14
02/14/11 19:18:19.0	0.15
02/14/11 19:29:12.5	0.16
02/14/11 19:41:01.0	0.17
02/14/11 20:19:29.5	0.18
02/14/11 20:42:47.5	0.19
02/14/11 22:02:18.5	0.2
02/14/11 22:09:20.5	0.21
02/14/11 22:15:46.0	0.22
02/14/11 22:29:06.5	0.23
02/14/11 22:31:45.0	0.24
02/14/11 22:37:41.0	0.25
02/15/11 00:06:38.5	0.26
02/15/11 00:47:07.5	0.27
02/15/11 00:48:21.5	0.28
02/15/11 00:49:57.0	0.29
02/15/11 00:51:47.0	0.3
02/15/11 00:53:19.0	0.31
02/15/11 01:09:02.5	0.32
02/15/11 01:56:51.5	0.33
02/15/11 02:21:36.0	0.34
02/15/11 02:50:52.5	0.35
02/15/11 03:01:47.5	0.36
02/15/11 21:59:43.0	0.37
02/15/11 22:17:11.0	0.38
02/15/11 22:26:02.0	0.39
02/15/11 22:53:55.5	0.4
02/15/11 23:00:05.0	0.41
02/15/11 23:04:35.0	0.42
02/15/11 23:18:17.5	0.43
02/15/11 23:28:23.0	0.44
02/15/11 23:31:01.5	0.45
02/15/11 23:33:50.0	0.46
02/15/11 23:39:42.5	0.47
02/15/11 23:44:46.5	0.48
02/15/11 23:53:34.0	0.49
02/15/11 23:58:33.0	0.5
02/16/11 00:00:56.0	0.51
02/16/11 00:05:42.5	0.52
02/16/11 00:09:52.5	0.53
02/16/11 00:11:43.5	0.54
02/16/11 00:13:29.5	0.55
02/16/11 00:19:08.5	0.56
02/16/11 00:24:09.0	0.57
02/16/11 00:29:00.5	0.58
02/16/11 00:31:04.0	0.59
02/16/11 00:37:21.5	0.6
02/16/11 00:39:57.5	0.61
02/16/11 00:41:54.0	0.62
02/16/11 00:42:38.0	0.63
02/16/11 00:43:44.5	0.64
02/16/11 00:44:20.5	0.65
02/16/11 00:45:03.0	0.66
02/16/11 00:45:39.5	0.67
02/16/11 00:46:04.5	0.68
02/16/11 00:46:42.0	0.69
02/16/11 00:47:44.0	0.7
02/16/11 00:48:25.5	0.71
02/16/11 00:49:07.0	0.72
02/16/11 00:50:02.0	0.73
02/16/11 00:50:36.5	0.74
02/16/11 00:51:33.5	0.75
02/16/11 00:52:36.5	0.76
02/16/11 00:53:39.5	0.77
02/16/11 00:55:31.5	0.78
02/16/11 00:58:37.0	0.79
02/16/11 01:02:06.0	0.8
02/16/11 01:05:45.5	0.81
02/16/11 01:08:02.0	0.82
02/16/11 01:09:22.0	0.83
02/16/11 01:11:41.5	0.84
02/16/11 01:26:16.5	0.85
02/16/11 01:57:40.0	0.86
02/16/11 02:41:50.0	0.87
02/16/11 02:42:15.5	0.88
02/16/11 02:42:48.0	0.89
02/16/11 02:43:20.0	0.9
02/16/11 02:43:51.0	0.91
02/16/11 02:45:06.0	0.92
02/16/11 02:46:32.0	0.93
02/16/11 02:47:34.5	0.94
02/16/11 02:48:26.0	0.95
02/16/11 02:49:24.0	0.96
02/16/11 02:50:43.0	0.97
02/16/11 02:51:26.5	0.98
02/16/11 02:52:04.5	0.99
02/16/11 02:52:44.5	1
02/16/11 02:53:24.0	1.01
02/16/11 02:56:09.5	1.02
02/16/11 02:58:55.5	1.03
02/16/11 03:01:09.5	1.04
02/16/11 03:04:10.5	1.05
02/16/11 03:07:19.0	1.06
02/16/11 03:10:29.5	1.07
02/16/11 03:17:44.5	1.08
02/16/11 03:23:54.0	1.09
02/16/11 03:55:54.0	1.1
02/16/11 04:35:32.5	1.11
02/16/11 04:58:00.5	1.12
02/16/11 05:21:53.0	1.13
02/16/11 05:29:06.0	1.14
02/16/11 07:52:14.0	1.15
02/16/11 11:01:42.0	1.16
02/16/11 11:02:39.5	1.17
02/16/11 11:04:04.5	1.18
02/16/11 11:05:16.5	1.19
02/16/11 11:08:16.0	1.2
02/16/11 11:23:38.0	1.21
02/16/11 11:27:38.0	1.22
02/16/11 11:32:24.0	1.22
