Date Time	Event (1/100 INCHES OF RAIN)
03/25/02 09:24:44.0	0
04/09/02 15:50:41.5	1
04/09/02 16:05:15.5	2
04/09/02 16:23:05.5	3
04/09/02 17:03:43.5	4
04/09/02 17:03:44.0	5
04/09/02 17:40:04.0	6
04/10/02 01:02:03.5	7
04/16/02 19:47:55.0	8
04/16/02 20:01:09.5	9
04/16/02 20:16:50.0	10
04/16/02 20:50:40.5	11
04/16/02 21:29:22.0	12
04/16/02 21:29:22.5	13
04/16/02 21:33:42.0	14
04/16/02 21:37:34.5	15
04/16/02 21:50:02.5	16
04/16/02 21:52:05.5	17
04/16/02 21:56:24.5	18
04/16/02 22:01:21.0	19
04/16/02 22:12:28.5	20
04/16/02 22:17:30.0	21
04/16/02 22:21:29.0	22
04/16/02 22:24:08.5	23
04/16/02 22:25:30.0	24
04/16/02 22:26:35.5	25
04/16/02 22:28:14.0	26
04/16/02 22:30:23.5	27
04/16/02 22:32:54.0	28
04/16/02 22:35:45.5	29
04/16/02 22:39:01.0	30
04/16/02 22:53:53.0	31
04/17/02 00:06:57.0	32
04/17/02 00:39:39.0	33
04/17/02 00:50:05.0	34
04/17/02 01:36:49.5	35
04/17/02 04:32:06.0	36
04/17/02 04:38:31.5	37
04/17/02 04:43:32.5	38
04/17/02 04:43:33.0	39
04/17/02 06:11:07.5	40
04/17/02 10:32:07.5	41
04/17/02 10:32:08.0	42
04/17/02 10:36:53.0	43
04/17/02 10:40:01.5	44
04/19/02 11:07:08.5	44
