Date Time	ln000125.start
02/13/00 07:21:45.0	174
02/13/00 07:24:38.5	175
02/13/00 07:27:34.0	176
02/13/00 07:30:21.5	177
02/13/00 07:32:07.5	178
02/13/00 07:33:33.0	179
02/13/00 07:34:28.5	180
02/13/00 07:35:37.5	181
02/13/00 07:36:48.0	182
02/13/00 07:38:26.0	183
02/13/00 07:40:55.5	184
02/13/00 07:46:29.0	185
02/13/00 07:50:30.5	186
02/13/00 07:51:20.5	187
02/13/00 07:52:02.5	188
02/13/00 07:53:13.0	189
02/13/00 07:54:22.0	190
02/13/00 07:56:13.0	191
02/13/00 07:57:39.5	192
02/13/00 07:59:58.5	193
02/13/00 08:02:07.0	194
02/13/00 08:05:07.5	195
02/13/00 08:06:24.0	196
02/13/00 08:07:31.0	197
02/13/00 08:08:41.5	198
02/13/00 08:10:35.5	199
02/13/00 08:15:23.0	200
02/13/00 08:18:36.5	201
02/13/00 08:20:21.0	202
02/13/00 08:22:20.5	203
02/13/00 08:24:42.5	204
02/13/00 08:29:21.0	205
02/13/00 08:33:30.0	206
02/13/00 08:37:28.0	207
02/13/00 08:40:04.0	208
02/13/00 08:41:08.0	209
02/13/00 08:43:18.0	210
02/13/00 08:46:23.0	211
02/13/00 08:48:32.0	212
02/13/00 08:50:51.0	213
02/13/00 08:54:02.0	214
02/13/00 08:55:27.5	215
02/13/00 08:57:03.5	216
02/13/00 08:59:05.5	217
02/13/00 09:00:26.0	218
02/13/00 09:01:47.0	219
02/13/00 09:03:13.5	220
02/13/00 09:04:34.5	221
02/13/00 09:06:22.0	222
02/13/00 09:09:11.0	223
02/13/00 09:14:06.5	224
02/13/00 09:17:49.0	225
02/13/00 09:19:42.0	226
02/13/00 09:21:36.5	227
02/13/00 09:22:34.5	228
02/13/00 09:23:27.0	229
02/13/00 09:24:29.0	230
02/13/00 09:26:21.0	231
02/13/00 09:28:02.5	232
02/13/00 09:29:30.5	233
02/13/00 09:31:06.5	234
02/13/00 09:32:50.5	235
02/13/00 09:34:05.5	236
02/13/00 09:35:22.5	237
02/13/00 09:36:38.0	238
02/13/00 09:37:47.5	239
02/13/00 09:38:55.5	240
02/13/00 09:40:15.5	241
02/13/00 09:41:29.0	242
02/13/00 09:43:37.5	243
02/13/00 09:45:22.0	244
02/13/00 09:47:33.5	245
02/13/00 09:50:16.0	246
02/13/00 09:56:38.5	247
02/13/00 10:00:08.5	248
02/13/00 10:02:45.0	249
02/13/00 10:04:00.5	250
02/13/00 10:05:15.5	251
02/13/00 10:06:08.0	252
02/13/00 10:07:13.5	253
02/13/00 10:08:14.0	254
02/13/00 10:09:12.5	255
02/13/00 10:10:10.5	256
02/13/00 10:11:09.0	257
02/13/00 10:11:50.0	258
02/13/00 10:12:30.0	259
02/13/00 10:13:08.5	260
02/13/00 10:13:59.5	261
02/13/00 10:14:51.0	262
02/13/00 10:16:09.5	263
02/13/00 10:17:26.0	264
02/13/00 10:18:33.0	265
02/13/00 10:20:16.5	266
02/13/00 10:21:55.0	267
02/13/00 10:23:30.0	268
02/13/00 10:25:13.5	269
02/13/00 10:26:59.0	270
02/13/00 10:29:36.5	271
02/13/00 10:31:38.5	272
02/13/00 10:34:36.5	273
02/13/00 10:38:20.5	274
02/13/00 10:43:09.5	275
02/13/00 10:48:01.0	276
02/13/00 10:50:55.5	277
02/13/00 10:55:07.0	278
02/13/00 10:58:14.5	279
02/13/00 11:00:54.0	280
02/13/00 11:03:42.5	281
02/13/00 11:06:38.0	282
02/13/00 11:11:24.5	283
02/13/00 11:16:22.5	284
02/13/00 11:19:59.5	285
02/13/00 11:25:38.0	286
02/13/00 11:51:33.5	287
02/13/00 11:56:01.0	288
02/13/00 11:57:55.5	289
02/13/00 11:59:31.0	290
02/13/00 12:01:12.5	291
02/13/00 12:02:45.0	292
02/13/00 12:04:52.5	293
02/13/00 12:07:08.5	294
02/13/00 12:09:13.0	295
02/13/00 12:10:39.0	296
02/13/00 12:13:04.5	297
02/13/00 12:15:42.5	298
02/13/00 12:18:57.5	299
02/13/00 12:21:19.5	300
02/13/00 12:22:41.0	301
02/13/00 12:23:58.5	302
02/13/00 12:24:47.5	303
02/13/00 12:25:25.5	304
02/13/00 12:26:17.5	305
02/13/00 12:27:29.0	306
02/13/00 12:29:06.5	307
02/13/00 12:32:26.5	308
02/13/00 12:35:21.5	309
02/13/00 12:36:23.5	310
02/13/00 12:37:28.0	311
02/13/00 12:38:15.5	312
02/13/00 12:39:05.0	313
02/13/00 12:39:44.5	314
02/13/00 12:40:33.5	315
02/13/00 12:41:12.5	316
02/13/00 12:42:09.0	317
02/13/00 12:42:57.0	318
02/13/00 12:44:22.5	319
02/13/00 12:45:55.5	320
02/13/00 12:47:00.5	321
02/13/00 12:47:56.5	322
02/13/00 12:48:49.5	323
02/13/00 12:49:46.0	324
02/13/00 12:51:03.0	325
02/13/00 12:52:24.5	326
02/13/00 12:53:30.0	327
02/13/00 12:54:43.0	328
02/13/00 12:56:10.0	329
02/13/00 12:57:19.5	330
02/13/00 12:58:36.0	331
02/13/00 12:59:54.5	332
02/13/00 13:01:02.5	333
02/13/00 13:02:05.0	334
02/13/00 13:03:04.0	335
02/13/00 13:04:32.5	336
02/13/00 13:05:48.5	337
02/13/00 13:07:03.5	338
02/13/00 13:08:45.0	339
02/13/00 13:10:07.0	340
02/13/00 13:11:21.0	341
02/13/00 13:12:20.5	342
02/13/00 13:13:50.0	343
02/13/00 13:15:11.0	344
02/13/00 13:16:20.0	345
02/13/00 13:17:39.5	346
02/13/00 13:19:03.5	347
02/13/00 13:20:09.5	348
02/13/00 13:21:26.5	349
02/13/00 13:22:49.0	350
02/13/00 13:24:53.0	351
02/13/00 13:26:51.0	352
02/13/00 13:28:30.5	353
02/13/00 13:29:46.0	354
02/13/00 13:32:07.5	355
02/13/00 13:34:27.5	356
02/13/00 13:36:54.0	357
02/13/00 13:38:52.0	358
02/13/00 13:41:25.5	359
02/13/00 13:43:21.0	360
02/13/00 13:45:08.0	361
02/13/00 13:47:28.5	362
02/13/00 13:49:49.5	363
02/13/00 13:52:41.0	364
02/13/00 13:56:18.0	365
02/13/00 13:59:38.0	366
02/13/00 14:02:00.5	367
02/13/00 14:04:02.5	368
02/13/00 14:05:58.0	369
02/13/00 14:07:41.0	370
02/13/00 14:10:04.5	371
02/13/00 14:12:42.5	372
02/13/00 14:15:25.0	373
02/13/00 14:17:12.5	374
02/13/00 14:19:30.0	375
02/13/00 14:21:45.0	376
02/13/00 14:25:20.0	377
02/13/00 14:28:33.0	378
02/13/00 14:31:30.5	379
02/13/00 14:33:40.5	380
02/13/00 14:35:44.5	381
02/13/00 14:37:29.5	382
02/13/00 14:39:21.5	383
02/13/00 14:40:46.5	384
02/13/00 14:41:57.0	385
02/13/00 14:42:56.0	386
02/13/00 14:44:35.0	387
02/13/00 14:45:59.5	388
02/13/00 14:47:49.0	389
02/13/00 14:50:25.0	390
02/13/00 14:53:36.0	391
02/13/00 14:56:08.0	392
02/13/00 14:58:30.0	393
02/13/00 15:00:33.0	394
02/13/00 15:02:26.5	395
02/13/00 15:03:57.5	396
02/13/00 15:05:25.0	397
02/13/00 15:06:56.5	398
02/13/00 15:08:48.0	399
02/13/00 15:10:06.0	400
02/13/00 15:11:41.5	401
02/13/00 15:13:45.0	402
02/13/00 15:15:59.0	403
02/13/00 15:18:08.5	404
02/13/00 15:19:50.0	405
02/13/00 15:21:10.5	406
02/13/00 15:22:28.0	407
02/13/00 15:23:43.0	408
02/13/00 15:25:27.0	409
02/13/00 15:27:07.5	410
02/13/00 15:28:52.0	411
02/13/00 15:29:57.5	412
02/13/00 15:31:05.5	413
02/13/00 15:32:17.5	414
02/13/00 15:33:37.5	415
02/13/00 15:35:38.0	416
02/13/00 15:37:48.0	417
02/13/00 15:39:37.0	418
02/13/00 15:41:44.0	419
02/13/00 15:43:45.0	420
02/13/00 15:46:32.0	421
02/13/00 15:49:52.5	422
02/13/00 15:52:23.0	423
02/13/00 15:54:06.0	424
02/13/00 15:56:33.5	425
02/13/00 15:58:44.0	426
02/13/00 16:01:25.5	427
02/13/00 16:02:52.5	428
02/13/00 16:03:43.0	429
02/13/00 16:04:41.5	430
02/13/00 16:05:57.5	431
02/13/00 16:07:04.5	432
02/13/00 16:08:35.0	433
02/13/00 16:09:43.0	434
02/13/00 16:11:17.0	435
02/13/00 16:12:40.0	436
02/13/00 16:14:11.0	437
02/13/00 16:15:34.5	438
02/13/00 16:16:44.0	439
02/13/00 16:17:40.0	440
02/13/00 16:18:45.5	441
02/13/00 16:19:30.5	442
02/13/00 16:20:15.0	443
02/13/00 16:21:24.0	444
02/13/00 16:22:46.0	445
02/13/00 16:23:40.5	446
02/13/00 16:25:04.0	447
02/13/00 16:26:21.5	448
02/13/00 16:27:58.0	449
02/13/00 16:29:02.0	450
02/13/00 16:30:16.0	451
02/13/00 16:31:14.0	452
02/13/00 16:32:25.5	453
02/13/00 16:33:26.0	454
02/13/00 16:34:44.0	455
02/13/00 16:35:48.0	456
02/13/00 16:37:17.0	457
02/13/00 16:38:53.0	458
02/13/00 16:40:31.0	459
02/13/00 16:41:56.0	460
02/13/00 16:44:14.5	461
02/13/00 16:46:03.0	462
02/13/00 16:47:42.5	463
02/13/00 16:48:37.0	464
02/13/00 16:49:13.5	465
02/13/00 16:49:52.0	466
02/13/00 16:50:37.5	467
02/13/00 16:51:08.0	468
02/13/00 16:51:50.5	469
02/13/00 16:52:42.5	470
02/13/00 16:53:43.5	471
02/13/00 16:54:42.5	472
02/13/00 16:55:48.5	473
02/13/00 16:56:54.0	474
02/13/00 16:58:17.0	475
02/13/00 16:59:18.0	476
02/13/00 17:00:29.5	477
02/13/00 17:01:39.0	478
02/13/00 17:02:44.0	479
02/13/00 17:03:56.0	480
02/13/00 17:05:03.5	481
02/13/00 17:05:56.0	482
02/13/00 17:07:06.0	483
02/13/00 17:08:01.0	484
02/13/00 17:09:00.0	485
02/13/00 17:10:13.0	486
02/13/00 17:11:35.5	487
02/13/00 17:12:59.5	488
02/13/00 17:14:39.0	489
02/13/00 17:15:24.5	490
02/13/00 17:16:01.5	491
02/13/00 17:17:08.5	492
02/13/00 17:18:29.0	493
02/13/00 17:19:53.5	494
02/13/00 17:21:03.5	495
02/13/00 17:22:34.0	496
02/13/00 17:24:22.5	497
02/13/00 17:25:47.5	498
02/13/00 17:27:13.5	499
02/13/00 17:28:24.5	500
02/13/00 17:29:30.5	501
02/13/00 17:30:36.5	502
02/13/00 17:32:09.0	503
02/13/00 17:33:25.5	504
02/13/00 17:34:30.5	505
02/13/00 17:35:50.5	506
02/13/00 17:37:49.5	507
02/13/00 17:39:36.5	508
02/13/00 17:40:43.0	509
02/13/00 17:41:44.5	510
02/13/00 17:44:25.0	511
02/13/00 17:47:36.5	512
02/13/00 17:50:13.5	513
02/13/00 17:51:53.5	514
02/13/00 17:53:20.0	515
02/13/00 17:54:33.0	516
02/13/00 17:55:35.0	517
02/13/00 17:56:26.5	518
02/13/00 17:57:24.0	519
02/13/00 17:58:05.0	520
02/13/00 17:58:44.5	521
02/13/00 17:59:22.5	522
02/13/00 18:00:13.5	523
02/13/00 18:01:01.5	524
02/13/00 18:01:48.5	525
02/13/00 18:02:34.5	526
02/13/00 18:03:58.5	527
02/13/00 18:05:09.0	528
02/13/00 18:05:58.5	529
02/13/00 18:06:49.0	530
02/13/00 18:07:58.0	531
02/13/00 18:08:50.5	532
02/13/00 18:09:43.0	533
02/13/00 18:10:23.5	534
02/13/00 18:11:21.0	535
02/13/00 18:12:21.0	536
02/13/00 18:13:13.5	537
02/13/00 18:13:55.0	538
02/13/00 18:14:37.5	539
02/13/00 18:15:19.5	540
02/13/00 18:16:03.5	541
02/13/00 18:16:48.5	542
02/13/00 18:17:42.0	543
02/13/00 18:18:31.0	544
02/13/00 18:19:16.0	545
02/13/00 18:19:56.5	546
02/13/00 18:20:43.0	547
02/13/00 18:21:34.0	548
02/13/00 18:22:18.5	549
02/13/00 18:23:06.5	550
02/13/00 18:23:59.5	551
02/13/00 18:24:49.0	552
02/13/00 18:25:59.5	553
02/13/00 18:26:55.5	554
02/13/00 18:28:08.5	555
02/13/00 18:29:04.0	556
02/13/00 18:29:56.0	557
02/13/00 18:30:47.5	558
02/13/00 18:31:39.0	559
02/13/00 18:32:30.0	560
02/13/00 18:33:19.0	561
02/13/00 18:34:02.0	562
02/13/00 18:34:49.0	563
02/13/00 18:35:50.5	564
02/13/00 18:37:04.5	565
02/13/00 18:37:54.5	566
02/13/00 18:38:43.5	567
02/13/00 18:39:33.5	568
02/13/00 18:40:31.0	569
02/13/00 18:41:30.5	570
02/13/00 18:42:40.0	571
02/13/00 18:43:49.0	572
02/13/00 18:44:44.5	573
02/13/00 18:45:48.5	574
02/13/00 18:47:21.0	575
02/13/00 18:48:52.5	576
02/13/00 18:50:30.0	577
02/13/00 18:51:54.0	578
02/13/00 18:53:27.0	579
02/13/00 18:55:02.5	580
02/13/00 18:56:30.0	581
02/13/00 18:57:31.0	582
02/13/00 18:59:07.5	583
02/13/00 19:00:50.0	584
02/13/00 19:02:27.5	585
02/13/00 19:04:48.5	586
02/13/00 19:10:04.0	587
02/13/00 19:39:01.5	588
02/13/00 20:48:43.5	589
02/13/00 20:58:59.5	590
02/14/00 02:09:57.5	591
02/14/00 02:18:21.0	592
02/14/00 02:36:09.5	593
02/14/00 03:13:39.0	594
02/14/00 03:30:51.0	595
02/14/00 03:34:29.0	596
02/14/00 03:37:21.5	597
02/14/00 03:47:16.5	598
02/14/00 04:08:42.5	599
02/14/00 04:09:39.5	600
02/14/00 04:11:27.5	601
02/14/00 04:13:20.5	602
02/14/00 04:14:17.5	603
02/14/00 04:15:42.5	604
02/14/00 04:17:17.5	605
02/14/00 04:18:10.0	606
02/14/00 04:19:03.0	607
02/14/00 04:20:04.5	608
02/14/00 04:21:04.0	609
02/14/00 04:21:52.0	610
02/14/00 04:22:46.5	611
02/14/00 04:23:47.0	612
02/14/00 04:24:28.5	613
02/14/00 04:25:12.5	614
02/14/00 04:26:05.0	615
02/14/00 04:26:40.0	616
02/14/00 04:27:26.5	617
