Date Time	12/9/97 inches of rain
01/02/98 06:37:43.0	198
01/02/98 06:38:24.5	199
01/02/98 06:39:11.5	200
01/02/98 06:40:03.0	201
01/02/98 06:40:03.5	202
01/02/98 06:40:39.0	203
01/02/98 06:41:13.0	204
01/02/98 06:41:41.0	205
01/02/98 06:42:10.0	206
01/02/98 06:42:28.0	207
01/02/98 06:42:47.0	208
01/02/98 06:43:02.0	209
01/02/98 06:43:17.5	210
01/02/98 06:43:37.5	211
01/02/98 06:43:58.5	212
01/02/98 06:44:12.0	213
01/02/98 06:44:24.5	214
01/02/98 06:44:25.0	215
01/02/98 06:44:37.0	216
01/02/98 06:44:54.5	217
01/02/98 06:45:12.5	218
01/02/98 06:45:41.0	219
01/02/98 06:46:03.5	220
01/02/98 06:46:04.0	221
01/02/98 06:46:25.0	222
01/02/98 06:47:01.0	223
01/02/98 06:47:50.0	224
01/02/98 06:48:25.0	225
01/02/98 06:49:11.5	226
01/02/98 06:49:56.0	227
01/02/98 06:49:56.5	228
01/02/98 06:50:54.5	229
01/02/98 06:51:42.0	230
01/02/98 06:52:52.0	231
01/02/98 06:53:40.5	232
01/02/98 06:54:26.5	233
01/02/98 06:55:17.5	234
01/02/98 06:56:08.5	235
01/02/98 06:57:02.0	236
01/02/98 06:57:37.0	237
01/02/98 06:58:01.5	238
01/02/98 06:58:34.0	239
01/02/98 06:58:34.5	240
01/02/98 06:59:03.0	241
01/02/98 06:59:35.5	242
01/02/98 07:00:04.5	243
01/02/98 07:00:34.0	244
01/02/98 07:01:04.5	245
01/02/98 07:01:32.5	246
01/02/98 07:01:56.5	247
01/02/98 07:02:23.5	248
01/02/98 07:02:48.5	249
01/02/98 07:03:12.5	250
01/02/98 07:03:46.0	251
01/02/98 07:05:46.5	252
01/02/98 07:13:54.5	253
01/02/98 09:27:57.5	254
01/02/98 09:29:56.0	255
01/02/98 09:34:37.5	256
01/02/98 09:37:35.5	257
01/02/98 10:58:29.5	258
01/02/98 11:59:36.0	259
01/02/98 12:00:02.0	260
01/02/98 12:00:18.5	261
01/02/98 12:00:55.0	262
01/02/98 15:40:23.5	263
01/02/98 15:40:24.0	264
01/02/98 15:40:46.0	265
01/02/98 15:41:04.0	266
01/02/98 15:41:26.5	267
01/02/98 15:41:41.0	268
01/02/98 15:42:07.0	269
01/02/98 15:42:30.0	270
01/02/98 15:42:30.5	271
01/02/98 15:42:55.0	272
01/02/98 15:43:12.0	273
01/02/98 15:44:00.5	274
01/02/98 15:44:21.0	275
01/02/98 15:44:34.5	276
01/02/98 15:44:56.0	277
01/02/98 15:45:40.0	278
01/02/98 15:46:10.5	279
01/02/98 15:46:11.0	280
01/02/98 15:51:03.5	281
01/02/98 15:52:34.0	282
01/02/98 15:53:00.5	283
01/02/98 15:53:12.0	284
01/02/98 15:53:22.5	285
01/02/98 15:53:35.0	286
01/02/98 15:53:57.0	287
01/02/98 15:53:57.5	288
01/02/98 15:54:34.5	289
01/02/98 15:55:08.0	290
01/02/98 16:17:16.5	291
01/02/98 17:39:21.0	292
01/02/98 19:08:54.5	293
01/02/98 19:10:26.0	294
01/02/98 19:26:01.0	295
01/02/98 20:04:44.0	296
01/02/98 20:32:07.0	297
01/02/98 20:32:07.5	298
01/02/98 20:32:36.5	299
01/02/98 20:33:17.5	300
01/02/98 20:34:10.0	301
01/02/98 20:34:39.5	302
01/02/98 21:07:48.5	303
01/02/98 21:08:36.5	304
01/02/98 21:10:01.5	305
01/02/98 21:10:23.5	306
01/02/98 21:11:01.0	307
01/02/98 21:11:25.5	308
01/02/98 21:12:15.5	309
01/02/98 21:12:16.0	310
01/02/98 21:19:32.5	311
01/03/98 07:15:50.0	312
01/03/98 07:57:43.5	313
01/03/98 08:21:56.5	314
01/03/98 09:15:33.0	315
01/03/98 09:18:34.5	316
01/03/98 09:24:16.0	317
01/03/98 13:33:17.5	318
01/03/98 13:33:18.0	319
01/03/98 17:20:52.0	320
01/03/98 18:28:33.5	321
01/03/98 18:29:58.0	322
01/03/98 18:30:24.5	323
01/03/98 18:32:39.5	324
01/03/98 20:56:20.0	325
01/03/98 21:10:54.0	326
01/03/98 21:10:54.5	327
01/03/98 21:13:37.0	328
01/03/98 21:51:52.0	329
01/03/98 22:01:00.5	330
01/03/98 22:01:55.5	331
01/03/98 22:02:57.5	332
01/03/98 22:09:25.5	333
01/03/98 22:11:55.0	334
01/03/98 22:15:50.5	335
01/03/98 22:16:56.0	336
01/03/98 22:19:46.5	337
01/03/98 22:20:04.0	338
01/03/98 22:20:16.5	339
01/03/98 22:20:43.0	340
01/03/98 22:23:03.5	341
01/03/98 22:30:41.0	342
01/03/98 22:56:12.0	343
01/04/98 00:15:08.5	344
01/04/98 00:15:52.5	345
01/04/98 00:16:52.5	346
01/04/98 00:17:49.0	347
01/04/98 00:18:42.5	348
01/04/98 00:19:41.5	349
01/04/98 00:21:23.0	350
01/04/98 00:21:23.5	351
01/04/98 00:22:07.0	352
01/04/98 00:22:59.5	353
01/04/98 00:24:22.5	354
01/04/98 00:25:08.0	355
01/04/98 00:25:42.0	356
01/04/98 00:26:16.5	357
01/04/98 00:27:00.5	358
01/04/98 00:32:22.5	359
01/04/98 00:33:37.0	360
01/04/98 00:33:37.5	361
01/04/98 00:38:53.5	362
01/04/98 00:47:30.0	363
01/04/98 00:54:27.0	364
01/04/98 00:56:42.0	365
01/04/98 01:00:07.0	366
01/04/98 01:04:41.0	367
01/04/98 01:17:57.5	368
01/04/98 01:19:20.0	369
01/04/98 01:20:43.5	370
01/04/98 01:21:24.0	371
01/04/98 01:22:19.0	372
01/04/98 02:13:48.0	373
01/04/98 02:18:28.0	374
01/04/98 02:18:28.5	375
01/04/98 02:21:55.5	376
01/04/98 02:24:17.5	377
01/04/98 02:27:50.0	378
01/04/98 02:27:50.5	379
01/04/98 02:33:34.0	380
01/04/98 02:39:49.0	381
01/04/98 02:41:09.0	382
01/04/98 02:44:57.0	383
01/04/98 03:42:12.0	384
01/04/98 03:45:43.0	385
01/04/98 03:47:07.5	386
01/04/98 03:48:01.5	387
01/04/98 03:48:47.5	388
01/04/98 03:49:12.0	389
01/04/98 03:49:37.5	390
01/04/98 03:53:44.0	391
01/04/98 04:00:35.0	392
01/04/98 04:23:00.0	393
01/04/98 04:36:19.5	394
01/04/98 06:59:07.5	395
01/04/98 08:39:34.5	396
01/04/98 08:49:22.5	397
01/04/98 09:31:43.0	398
01/04/98 09:32:35.0	399
01/04/98 09:34:08.5	400
01/04/98 09:35:47.5	401
01/04/98 09:37:02.5	402
01/04/98 09:37:03.0	403
01/04/98 09:43:19.0	404
01/04/98 19:35:36.0	405
01/04/98 19:40:03.5	406
01/04/98 19:40:04.0	407
01/06/98 12:30:42.0	408
01/06/98 12:31:44.0	409
01/06/98 12:32:45.0	409	End
