Date/Time	Cumulative Precipitation	Event Starts	Storm End	Duration	Time since last rain	Total Precipitation	Total Energy	30-min Amount	30-min Time	EI30	15-min Amount	15-min Time	EI15	60-min Time	60-min Amount	EI60	2-hr Amount	2-hr Time	EI120	24-hour Rain	3-day Rain	7-day Rain	6-hr Amount	6-hr Time	EI360	Year	Gage	Start Date/Time	Cumulative Precipitation	Event Number	Storm End	Duration	Time since last rain	Total Precipitation	Total Energy	30-min Amount	30-min Time	EI30	15-min Amount	15-min time	EI15	60-min Amount	60-min Time	EI60	2-hr Amount	2-hr Time	EI120	24-hour Rain	3-day Rain	7-day Rain	6-hr Amount	6-hr Time	EI360
53:26.5	0.01	Event Start 1	10/13/2009 20:48:32	17:55:05	13 days  2:53	4.39	2752	0.41	0:29:53	22.486	0.27	0:14:52	29.596	0.60	0:58:44	16.570	0.98	1:59:33	13.464	0.00	0.00	0.00	2.26	5:59:38	10.356	UQC_	RRG_091016	10/13/2009 2:53:26	0.0108	Event Start 1	10/13/2009 20:48:32	17:55:05	13 days  2:53	4.39	2752	0.41	0:29:53	22.486	0.27	0:14:52	29.596	0.60	0:58:44	16.570	0.98	1:59:33	13.464	0.00	0.00	0.00	2.26	5:59:38	10.356
05:04.5	0.02																																																				
12:09.5	0.03																																																				
25:49.0	0.04																																																				
31:12.5	0.05																																																				
37:51.5	0.06																																																				
43:39.0	0.08																																																				
47:32.5	0.09																																																				
58:12.5	0.10																																																				
28:05.0	0.11																																																				
51:13.5	0.12																																																				
57:53.0	0.13																																																				
01:56.5	0.14																																																				
09:40.0	0.15																																																				
13:47.5	0.16																																																				
17:42.5	0.17																																																				
21:09.0	0.18																																																				
23:21.5	0.19																																																				
24:36.5	0.20																																																				
26:38.0	0.22																																																				
28:23.5	0.23																																																				
30:06.0	0.24																																																				
32:01.0	0.25																																																				
34:54.0	0.26																																																				
37:49.5	0.27																																																				
40:53.0	0.28																																																				
43:20.5	0.29																																																				
44:58.0	0.30																																																				
46:44.0	0.31																																																				
48:10.0	0.32																																																				
49:33.5	0.33																																																				
50:40.5	0.34																																																				
52:08.5	0.35																																																				
53:00.5	0.37																																																				
54:00.0	0.38																																																				
55:25.0	0.39																																																				
56:21.5	0.40																																																				
57:12.5	0.41																																																				
58:54.0	0.42																																																				
59:51.5	0.43																																																				
00:36.0	0.44																																																				
01:15.0	0.45																																																				
01:50.5	0.46																																																				
02:50.0	0.47																																																				
03:58.0	0.48																																																				
05:01.5	0.49																																																				
06:08.0	0.51																																																				
07:29.0	0.52																																																				
08:49.5	0.53																																																				
09:51.0	0.54																																																				
11:25.5	0.55																																																				
13:25.0	0.56																																																				
16:00.0	0.57																																																				
18:11.5	0.58																																																				
20:13.0	0.59																																																				
21:17.0	0.60																																																				
21:51.5	0.61																																																				
23:00.0	0.62																																																				
24:25.0	0.63																																																				
26:05.5	0.65																																																				
27:54.0	0.66																																																				
30:43.0	0.67																																																				
33:12.5	0.68																																																				
34:25.5	0.69																																																				
35:46.5	0.70																																																				
37:32.0	0.71																																																				
39:44.0	0.72																																																				
41:53.5	0.73																																																				
45:04.5	0.74																																																				
47:58.0	0.75																																																				
50:36.5	0.76																																																				
52:53.0	0.77																																																				
55:02.5	0.79																																																				
56:15.0	0.80																																																				
57:51.0	0.81																																																				
59:46.5	0.82																																																				
01:25.0	0.83																																																				
03:32.0	0.84																																																				
05:24.0	0.85																																																				
07:37.0	0.86																																																				
08:55.0	0.87																																																				
09:59.0	0.88																																																				
11:09.5	0.89																																																				
12:28.0	0.90																																																				
14:58.5	0.91																																																				
21:15.0	0.92																																																				
22:59.5	0.94																																																				
25:44.5	0.95																																																				
30:05.5	0.96																																																				
33:47.0	0.97																																																				
39:04.5	0.98																																																				
42:40.5	0.99																																																				
45:16.0	1.00																																																				
46:38.5	1.01																																																				
48:19.5	1.02																																																				
49:54.5	1.03																																																				
50:40.5	1.04																																																				
51:31.5	1.05																																																				
52:15.0	1.06																																																				
53:32.0	1.08																																																				
54:42.5	1.09																																																				
56:15.0	1.10																																																				
57:34.0	1.11																																																				
58:58.0	1.12																																																				
00:19.0	1.13																																																				
01:27.0	1.14																																																				
02:57.5	1.15																																																				
03:57.5	1.16																																																				
05:21.5	1.17																																																				
06:36.0	1.18																																																				
07:56.0	1.19																																																				
09:10.0	1.20																																																				
10:16.5	1.22																																																				
11:28.0	1.23																																																				
12:18.5	1.24																																																				
13:09.0	1.25																																																				
13:59.5	1.26																																																				
14:46.5	1.27																																																				
15:25.0	1.28																																																				
16:23.5	1.29																																																				
17:43.0	1.30																																																				
18:33.0	1.31																																																				
19:23.0	1.32																																																				
20:19.5	1.33																																																				
21:49.5	1.34																																																				
23:19.5	1.35																																																				
24:26.5	1.37																																																				
25:38.5	1.38																																																				
26:56.0	1.39																																																				
27:58.0	1.40																																																				
29:31.0	1.41																																																				
31:05.5	1.42																																																				
32:31.5	1.43																																																				
33:50.0	1.44																																																				
35:07.5	1.45																																																				
36:06.0	1.46																																																				
37:15.5	1.47																																																				
38:26.0	1.48																																																				
39:45.0	1.49																																																				
41:13.5	1.51																																																				
42:29.0	1.52																																																				
43:45.5	1.53																																																				
44:55.5	1.54																																																				
46:08.0	1.55																																																				
47:22.5	1.56																																																				
48:40.0	1.57																																																				
49:53.0	1.58																																																				
50:55.5	1.59																																																				
52:16.5	1.60																																																				
53:13.0	1.61																																																				
54:25.0	1.62																																																				
55:35.5	1.63																																																				
56:40.5	1.65																																																				
57:36.0	1.66																																																				
58:30.5	1.67																																																				
59:12.5	1.68																																																				
59:56.0	1.69																																																				
00:47.5	1.70																																																				
01:52.0	1.71																																																				
02:52.5	1.72																																																				
04:20.5	1.73																																																				
06:25.5	1.74																																																				
08:28.0	1.75																																																				
10:22.5	1.76																																																				
12:39.5	1.77																																																				
14:41.0	1.79																																																				
15:54.0	1.80																																																				
17:11.5	1.81																																																				
18:07.0	1.82																																																				
19:01.5	1.83																																																				
20:07.0	1.84																																																				
21:04.5	1.85																																																				
22:38.0	1.86																																																				
24:13.0	1.87																																																				
25:53.5	1.88																																																				
27:20.0	1.89																																																				
28:52.5	1.90																																																				
30:41.5	1.91																																																				
32:50.0	1.92																																																				
34:47.5	1.94																																																				
37:06.0	1.95																																																				
40:09.0	1.96																																																				
42:29.0	1.97																																																				
44:49.0	1.98																																																				
47:43.5	1.99																																																				
49:32.0	2.00																																																				
51:48.0	2.01																																																				
53:52.5	2.02																																																				
55:30.0	2.03																																																				
57:11.0	2.04																																																				
58:31.0	2.05																																																				
59:56.0	2.06																																																				
01:13.5	2.08																																																				
02:30.0	2.09																																																				
03:50.5	2.10																																																				
04:54.0	2.11																																																				
06:01.0	2.12																																																				
07:33.5	2.13																																																				
09:13.0	2.14																																																				
11:24.0	2.15																																																				
13:21.0	2.16																																																				
14:31.0	2.17																																																				
16:04.0	2.18																																																				
17:49.5	2.19																																																				
19:18.0	2.20																																																				
20:32.5	2.22																																																				
21:43.0	2.23																																																				
23:42.0	2.24																																																				
26:46.0	2.25																																																				
28:15.0	2.26																																																				
30:44.5	2.27																																																				
32:06.5	2.28																																																				
34:24.0	2.29																																																				
37:42.5	2.30																																																				
38:57.0	2.31																																																				
40:17.0	2.32																																																				
42:50.0	2.33																																																				
46:25.0	2.34																																																				
50:35.5	2.35																																																				
57:43.5	2.37																																																				
06:58.0	2.38																																																				
10:25.5	2.39																																																				
14:10.0	2.40																																																				
17:49.0	2.41																																																				
20:33.0	2.42																																																				
23:49.5	2.43																																																				
27:39.5	2.44																																																				
30:51.0	2.45																																																				
35:36.0	2.46																																																				
37:15.0	2.47																																																				
38:12.5	2.48																																																				
38:50.5	2.49																																																				
40:04.0	2.51																																																				
41:08.5	2.52																																																				
42:29.5	2.53																																																				
43:55.0	2.54																																																				
44:41.0	2.55																																																				
45:34.0	2.56																																																				
46:22.0	2.57																																																				
47:28.5	2.58																																																				
48:40.0	2.59																																																				
50:19.5	2.60																																																				
52:25.5	2.61																																																				
53:41.0	2.62																																																				
55:03.0	2.63																																																				
56:08.5	2.65																																																				
57:17.5	2.66																																																				
58:15.5	2.67																																																				
59:45.5	2.68																																																				
03:12.0	2.69																																																				
07:18.0	2.70																																																				
12:35.0	2.71																																																				
14:19.0	2.72																																																				
16:30.5	2.73																																																				
18:44.5	2.74																																																				
20:35.0	2.75																																																				
22:20.5	2.76																																																				
24:41.0	2.77																																																				
29:35.5	2.79																																																				
33:57.5	2.80																																																				
42:26.0	2.81																																																				
49:17.5	2.82																																																				
56:30.5	2.83																																																				
01:35.5	2.84																																																				
05:35.5	2.85																																																				
08:40.5	2.86																																																				
10:31.0	2.87																																																				
15:49.5	2.88																																																				
27:20.5	2.89																																																				
31:10.5	2.90																																																				
34:05.0	2.91																																																				
37:23.0	2.92																																																				
39:20.5	2.94																																																				
41:00.0	2.95																																																				
42:20.0	2.96																																																				
43:19.0	2.97																																																				
44:20.0	2.98																																																				
45:45.5	2.99																																																				
47:12.5	3.00																																																				
49:41.5	3.01																																																				
51:07.0	3.02																																																				
52:29.0	3.03																																																				
54:04.5	3.04																																																				
56:18.5	3.05																																																				
59:34.0	3.06																																																				
02:19.0	3.08																																																				
04:33.5	3.09																																																				
06:36.5	3.10																																																				
08:31.0	3.11																																																				
10:01.0	3.12																																																				
11:29.5	3.13																																																				
13:07.5	3.14																																																				
15:04.5	3.15																																																				
17:23.0	3.16																																																				
19:39.0	3.17																																																				
21:16.5	3.18																																																				
23:03.0	3.19																																																				
24:36.5	3.20																																																				
26:14.0	3.22																																																				
27:50.5	3.23																																																				
29:38.5	3.24																																																				
31:38.0	3.25																																																				
33:33.0	3.26																																																				
34:55.0	3.27																																																				
36:14.0	3.28																																																				
38:01.5	3.29																																																				
40:33.0	3.30																																																				
42:37.5	3.31																																																				
44:36.5	3.32																																																				
46:59.0	3.33																																																				
49:48.0	3.34																																																				
51:40.5	3.35																																																				
53:49.5	3.37																																																				
55:54.5	3.38																																																				
58:07.5	3.39																																																				
59:44.5	3.40																																																				
01:11.5	3.41																																																				
02:16.0	3.42																																																				
03:33.5	3.43																																																				
04:53.5	3.44																																																				
05:49.0	3.45																																																				
06:52.5	3.46																																																				
08:05.0	3.47																																																				
09:39.5	3.48																																																				
11:24.0	3.49																																																				
13:13.0	3.51																																																				
14:41.0	3.52																																																				
16:11.0	3.53																																																				
17:34.0	3.54																																																				
18:35.0	3.55																																																				
19:43.5	3.56																																																				
20:49.0	3.57																																																				
22:07.0	3.58																																																				
23:19.5	3.59																																																				
24:17.5	3.60																																																				
24:59.0	3.61																																																				
25:38.5	3.62																																																				
26:28.5	3.63																																																				
27:02.0	3.65																																																				
27:34.5	3.66																																																				
28:05.0	3.67																																																				
28:30.0	3.68																																																				
28:55.5	3.69																																																				
29:23.0	3.70																																																				
29:47.5	3.71																																																				
30:24.0	3.72																																																				
30:45.5	3.73																																																				
31:06.0	3.74																																																				
31:32.0	3.75																																																				
31:59.5	3.76																																																				
32:31.5	3.77																																																				
33:03.5	3.79																																																				
33:31.5	3.80																																																				
34:05.5	3.81																																																				
34:38.0	3.82																																																				
35:24.0	3.83																																																				
36:11.5	3.84																																																				
36:59.0	3.85																																																				
37:46.0	3.86																																																				
38:53.5	3.87																																																				
40:11.0	3.88																																																				
41:24.5	3.89																																																				
42:20.0	3.90																																																				
43:20.5	3.91																																																				
44:33.5	3.92																																																				
46:31.5	3.94																																																				
48:32.5	3.95																																																				
50:17.5	3.96																																																				
52:00.0	3.97																																																				
54:25.5	3.98																																																				
57:11.0	3.99																																																				
00:45.5	4.00																																																				
03:18.5	4.01																																																				
05:07.5	4.02																																																				
06:41.5	4.03																																																				
08:33.0	4.04																																																				
12:32.0	4.05																																																				
16:48.5	4.06																																																				
21:00.5	4.08																																																				
25:14.5	4.09																																																				
32:18.0	4.10																																																				
42:39.0	4.11																																																				
56:03.0	4.12																																																				
49:58.0	4.13																																																				
01:21.0	4.14																																																				
29:05.0	4.15																																																				
30:17.5	4.16																																																				
31:14.5	4.17																																																				
32:24.5	4.18																																																				
34:11.0	4.19																																																				
36:33.5	4.20																																																				
38:54.5	4.22																																																				
41:36.0	4.23																																																				
45:07.5	4.24																																																				
52:56.0	4.25																																																				
57:26.0	4.26																																																				
01:34.0	4.27																																																				
06:11.0	4.28																																																				
10:56.5	4.29																																																				
21:43.5	4.30																																																				
25:18.0	4.31																																																				
28:40.0	4.32																																																				
31:40.0	4.33																																																				
34:27.5	4.34																																																				
37:57.5	4.36																																																				
41:12.5	4.37																																																				
45:21.0	4.38																																																				
47:49.5	4.39																																																				
48:32.0	4.40																																																				
21:18.0	4.41	Start	10/14/2009 7:50:22	3:29:05	0 days  7:32	0.02	7	0.00	0:29:53	0.000	0.00	0:14:52	0.000	0.00	0:58:44	0.000	0.01	1:44:00	0.000	4.30	4.40	4.40	0.05	4:48:36	0.001																												
05:18.0	4.42																																																				
50:22.5	4.43																																																				
12:29.5	4.44	Start	10/14/2009 12:38:58	0:26:29	0 days  4:22	0.04	18	0.04	0:26:29	0.015	0.02	0:11:45	0.015	0.04	0:26:29	0.008	0.04	0:26:29	0.004	1.73	4.43	4.43	0.04	0:26:29	0.001																												
21:37.0	4.45																																																				
29:49.0	4.46																																																				
33:22.0	4.47																																																				
38:58.0	4.48																																																				
57:11.5	4.49																																																				
																																																					
