Date/Time	Cumulative Precipitation	Event Starts	Storm End	Duration	Time since last rain	Total Precipitation	Total Energy	30-min Amount	30-min Time	EI30	15-min Amount	15-min Time	EI15	60-min Time	60-min Amount	EI60	2-hr Amount	2-hr Time	EI120	24-hour Rain	3-day Rain	7-day Rain	6-hr Amount	6-hr Time	EI360	Year	Gage	Start Date/Time	Cumulative Precipitation	Event Number	Storm End	Duration	Time since last rain	Total Precipitation	Total Energy	30-min Amount	30-min Time	EI30	15-min Amount	15-min time	EI15	60-min Amount	60-min Time	EI60	2-hr Amount	2-hr Time	EI120	24-hour Rain	3-day Rain	7-day Rain	6-hr Amount	6-hr Time	EI360
55:39.5	0.01	Start	10/13/2009 2:51:41	5:56:02	12 days  20:55	0.02	7	0.04	0:25:10	0.006	0.02	0:13:31	0.006	0.12	0:58:09	0.008	0.18	1:57:42	0.006	0.00	0.00	0.00	2.42	5:59:51	0.028	UNF 	RRG_091015	10/13/2009 3:01:31	0.043	Event Start 1	10/13/2009 20:58:12	17:56:41	0 days  0:09	6.25	4376	0.45	0:29:49	39.532	0.28	0:14:48	48.940	0.83	0:59:39	36.232	1.46	1:59:46	31.996	0.03	0.03	0.03	3.42	5:59:57	24.938
27:17.0	0.02																																																				
51:41.0	0.03																																																				
01:31.5	0.04	Event Start 1	10/13/2009 20:58:12	17:56:41	0 days  0:09	6.25	4376	0.45	0:29:49	39.532	0.28	0:14:48	48.940	0.83	0:59:39	36.232	1.46	1:59:46	31.996	0.03	0.03	0.03	3.42	5:59:57	24.938																												
05:12.5	0.05																																																				
09:05.5	0.06																																																				
16:51.5	0.08																																																				
25:30.0	0.09																																																				
29:39.5	0.10																																																				
33:15.0	0.11																																																				
37:31.5	0.12																																																				
43:43.0	0.13																																																				
45:15.5	0.14																																																				
49:50.5	0.15																																																				
56:20.5	0.16																																																				
20:19.5	0.17																																																				
33:22.0	0.18																																																				
41:15.0	0.19																																																				
45:39.0	0.20																																																				
49:23.0	0.22																																																				
52:01.5	0.23																																																				
54:12.5	0.24																																																				
55:37.5	0.25																																																				
57:28.5	0.26																																																				
58:41.5	0.27																																																				
00:13.0	0.28																																																				
02:19.0	0.29																																																				
06:39.5	0.30																																																				
10:06.0	0.31																																																				
12:56.0	0.32																																																				
15:13.0	0.33																																																				
18:00.5	0.34																																																				
19:45.5	0.35																																																				
22:10.5	0.37																																																				
23:16.5	0.38																																																				
24:13.5	0.39																																																				
24:53.0	0.40																																																				
25:59.5	0.41																																																				
27:09.0	0.42																																																				
28:46.5	0.43																																																				
29:48.5	0.44																																																				
31:06.5	0.45																																																				
32:19.0	0.46																																																				
34:33.5	0.47																																																				
36:12.0	0.48																																																				
38:22.0	0.49																																																				
40:30.5	0.51																																																				
42:25.5	0.52																																																				
43:52.0	0.53																																																				
45:15.0	0.54																																																				
46:20.0	0.55																																																				
47:29.5	0.56																																																				
48:25.5	0.57																																																				
49:16.5	0.58																																																				
49:58.5	0.59																																																				
50:42.5	0.60																																																				
51:26.5	0.61																																																				
52:18.5	0.62																																																				
52:58.5	0.63																																																				
53:58.0	0.65																																																				
55:05.5	0.66																																																				
55:55.0	0.67																																																				
56:28.0	0.68																																																				
57:14.5	0.69																																																				
58:15.0	0.70																																																				
59:18.0	0.71																																																				
59:57.5	0.72																																																				
00:35.5	0.73																																																				
01:08.5	0.74																																																				
01:46.0	0.75																																																				
02:15.0	0.76																																																				
02:56.5	0.77																																																				
03:41.0	0.78																																																				
04:28.0	0.80																																																				
05:14.0	0.81																																																				
06:01.0	0.82																																																				
06:49.0	0.83																																																				
07:50.0	0.84																																																				
08:55.5	0.85																																																				
09:44.5	0.86																																																				
10:40.5	0.87																																																				
12:14.0	0.88																																																				
13:28.5	0.89																																																				
15:10.5	0.90																																																				
17:00.5	0.91																																																				
19:02.5	0.92																																																				
20:27.0	0.94																																																				
21:04.5	0.95																																																				
21:38.0	0.96																																																				
22:09.0	0.97																																																				
22:46.0	0.98																																																				
23:32.5	0.99																																																				
24:21.5	1.00																																																				
25:50.0	1.01																																																				
26:52.0	1.02																																																				
28:47.0	1.03																																																				
30:26.5	1.04																																																				
32:21.5	1.05																																																				
33:27.5	1.06																																																				
34:28.0	1.08																																																				
35:17.0	1.09																																																				
36:26.5	1.10																																																				
37:35.5	1.11																																																				
39:20.5	1.12																																																				
40:41.5	1.13																																																				
42:37.0	1.14																																																				
44:42.0	1.15																																																				
47:05.0	1.16																																																				
48:43.0	1.17																																																				
50:46.0	1.18																																																				
52:35.5	1.19																																																				
54:11.5	1.20																																																				
55:11.5	1.22																																																				
56:06.0	1.23																																																				
56:36.5	1.24																																																				
57:45.5	1.25																																																				
58:45.0	1.26																																																				
00:19.0	1.27																																																				
01:27.5	1.28																																																				
02:58.0	1.29																																																				
04:11.0	1.30																																																				
05:32.5	1.31																																																				
06:54.5	1.32																																																				
08:05.0	1.33																																																				
08:55.0	1.34																																																				
09:49.5	1.35																																																				
10:30.0	1.37																																																				
11:22.0	1.38																																																				
12:21.5	1.39																																																				
13:39.0	1.40																																																				
15:28.5	1.41																																																				
18:23.5	1.42																																																				
21:23.5	1.43																																																				
22:59.0	1.44																																																				
25:11.0	1.45																																																				
27:53.0	1.46																																																				
29:32.0	1.47																																																				
31:59.5	1.48																																																				
33:29.5	1.49																																																				
35:42.5	1.51																																																				
38:31.5	1.52																																																				
40:51.5	1.53																																																				
41:57.0	1.54																																																				
43:44.5	1.55																																																				
45:00.5	1.56																																																				
45:31.0	1.57																																																				
46:08.5	1.58																																																				
47:07.5	1.59																																																				
48:10.0	1.60																																																				
48:57.5	1.61																																																				
49:48.0	1.62																																																				
50:39.0	1.63																																																				
51:01.5	1.65																																																				
51:31.0	1.66																																																				
52:02.5	1.67																																																				
52:42.0	1.68																																																				
53:27.5	1.69																																																				
54:18.5	1.70																																																				
54:59.5	1.71																																																				
56:09.5	1.72																																																				
57:10.5	1.73																																																				
58:26.5	1.74																																																				
59:32.0	1.75																																																				
00:38.5	1.76																																																				
01:52.0	1.77																																																				
03:21.0	1.78																																																				
04:11.5	1.80																																																				
05:21.5	1.81																																																				
06:02.0	1.82																																																				
06:44.0	1.83																																																				
07:22.0	1.84																																																				
08:19.0	1.85																																																				
09:08.0	1.86																																																				
10:02.0	1.87																																																				
11:02.0	1.88																																																				
11:55.5	1.89																																																				
12:39.5	1.90																																																				
13:40.0	1.91																																																				
14:14.0	1.92																																																				
14:52.5	1.94																																																				
15:32.0	1.95																																																				
16:18.5	1.96																																																				
16:53.5	1.97																																																				
17:41.5	1.98																																																				
18:14.5	1.99																																																				
18:58.0	2.00																																																				
19:27.0	2.01																																																				
20:13.5	2.02																																																				
21:08.5	2.03																																																				
22:03.0	2.04																																																				
22:43.5	2.05																																																				
23:38.0	2.06																																																				
24:18.5	2.08																																																				
25:13.0	2.09																																																				
25:53.0	2.10																																																				
26:45.0	2.11																																																				
27:28.5	2.12																																																				
28:21.5	2.13																																																				
29:12.5	2.14																																																				
30:09.5	2.15																																																				
31:08.5	2.16																																																				
31:54.5	2.17																																																				
32:33.0	2.18																																																				
33:19.5	2.19																																																				
33:59.0	2.20																																																				
34:38.0	2.22																																																				
35:07.0	2.23																																																				
35:41.5	2.24																																																				
36:18.5	2.25																																																				
37:01.0	2.26																																																				
37:41.5	2.27																																																				
38:49.5	2.28																																																				
39:48.0	2.29																																																				
40:48.0	2.30																																																				
41:27.5	2.31																																																				
42:17.0	2.32																																																				
42:51.5	2.33																																																				
43:34.0	2.34																																																				
44:11.5	2.35																																																				
45:04.0	2.37																																																				
45:45.0	2.38																																																				
46:40.0	2.39																																																				
47:22.5	2.40																																																				
48:08.5	2.41																																																				
48:56.0	2.42																																																				
49:56.5	2.43																																																				
50:41.5	2.44																																																				
51:32.5	2.45																																																				
52:17.0	2.46																																																				
53:16.5	2.47																																																				
53:53.5	2.48																																																				
54:39.0	2.49																																																				
55:37.0	2.51																																																				
56:34.0	2.52																																																				
57:13.0	2.53																																																				
57:56.0	2.54																																																				
58:31.0	2.55																																																				
59:06.0	2.56																																																				
59:44.0	2.57																																																				
00:28.0	2.58																																																				
01:14.5	2.59																																																				
02:16.0	2.60																																																				
03:00.5	2.61																																																				
03:53.5	2.62																																																				
04:53.5	2.63																																																				
06:26.5	2.65																																																				
07:36.0	2.66																																																				
09:08.5	2.67																																																				
10:20.0	2.68																																																				
11:47.5	2.69																																																				
13:01.0	2.70																																																				
14:17.0	2.71																																																				
15:00.0	2.72																																																				
15:43.0	2.73																																																				
16:14.5	2.74																																																				
17:10.5	2.75																																																				
17:53.5	2.76																																																				
18:42.5	2.77																																																				
19:25.0	2.78																																																				
20:09.5	2.80																																																				
20:47.5	2.81																																																				
21:42.0	2.82																																																				
22:31.5	2.83																																																				
23:35.5	2.84																																																				
24:45.5	2.85																																																				
25:54.5	2.86																																																				
27:02.5	2.87																																																				
28:02.0	2.88																																																				
29:12.0	2.89																																																				
30:32.0	2.90																																																				
31:43.5	2.91																																																				
33:04.0	2.92																																																				
34:08.5	2.94																																																				
35:27.5	2.95																																																				
36:46.5	2.96																																																				
38:42.0	2.97																																																				
39:56.5	2.98																																																				
41:06.5	2.99																																																				
42:20.0	3.00																																																				
43:30.5	3.01																																																				
44:35.0	3.02																																																				
46:16.0	3.03																																																				
47:16.0	3.04																																																				
48:20.0	3.05																																																				
49:33.0	3.06																																																				
50:39.5	3.08																																																				
51:40.0	3.09																																																				
52:31.5	3.10																																																				
53:08.5	3.11																																																				
54:02.0	3.12																																																				
54:52.0	3.13																																																				
55:59.5	3.14																																																				
56:55.5	3.15																																																				
57:54.0	3.16																																																				
58:49.0	3.17																																																				
59:42.5	3.18																																																				
00:20.5	3.19																																																				
00:56.5	3.20																																																				
01:24.5	3.22																																																				
02:22.5	3.23																																																				
03:11.0	3.24																																																				
04:10.0	3.25																																																				
05:05.5	3.26																																																				
06:16.0	3.27																																																				
07:23.0	3.28																																																				
09:05.5	3.29																																																				
10:36.0	3.30																																																				
12:08.5	3.31																																																				
13:04.0	3.32																																																				
14:03.0	3.33																																																				
14:53.5	3.34																																																				
16:01.5	3.35																																																				
16:41.5	3.37																																																				
17:47.0	3.38																																																				
18:31.5	3.39																																																				
19:35.5	3.40																																																				
20:20.0	3.41																																																				
21:10.5	3.42																																																				
21:58.0	3.43																																																				
23:12.5	3.44																																																				
24:40.5	3.45																																																				
26:29.5	3.46																																																				
28:16.5	3.47																																																				
30:05.0	3.48																																																				
31:06.5	3.49																																																				
31:44.5	3.51																																																				
32:24.0	3.52																																																				
33:54.5	3.53																																																				
35:00.0	3.54																																																				
36:25.5	3.55																																																				
37:26.0	3.56																																																				
38:12.0	3.57																																																				
38:56.5	3.58																																																				
40:02.0	3.59																																																				
41:21.0	3.60																																																				
43:55.0	3.61																																																				
45:36.5	3.62																																																				
47:57.5	3.63																																																				
50:50.5	3.65																																																				
55:47.0	3.66																																																				
00:38.5	3.67																																																				
05:53.5	3.68																																																				
07:34.5	3.69																																																				
09:37.0	3.70																																																				
12:41.5	3.71																																																				
15:47.5	3.72																																																				
17:23.0	3.73																																																				
19:02.5	3.74																																																				
21:03.0	3.75																																																				
23:06.5	3.76																																																				
25:18.5	3.77																																																				
27:33.5	3.78																																																				
29:47.5	3.80																																																				
32:49.0	3.81																																																				
34:47.0	3.82																																																				
36:35.0	3.83																																																				
37:29.0	3.84																																																				
38:05.5	3.85																																																				
38:57.0	3.86																																																				
39:48.0	3.87																																																				
40:49.0	3.88																																																				
42:13.0	3.89																																																				
43:01.0	3.90																																																				
43:44.5	3.91																																																				
44:10.5	3.92																																																				
44:43.0	3.94																																																				
45:18.0	3.95																																																				
46:15.5	3.96																																																				
47:11.5	3.97																																																				
48:39.0	3.98																																																				
49:46.0	3.99																																																				
50:56.5	4.00																																																				
52:27.5	4.01																																																				
54:39.5	4.02																																																				
55:54.0	4.03																																																				
57:02.5	4.04																																																				
58:09.5	4.05																																																				
59:43.5	4.06																																																				
01:15.0	4.08																																																				
04:48.5	4.09																																																				
08:36.0	4.10																																																				
12:11.5	4.11																																																				
14:11.5	4.12																																																				
15:43.0	4.13																																																				
17:33.0	4.14																																																				
19:42.0	4.15																																																				
21:23.0	4.16																																																				
22:44.0	4.17																																																				
24:46.5	4.18																																																				
28:46.5	4.19																																																				
30:42.5	4.20																																																				
33:13.0	4.22																																																				
37:36.0	4.23																																																				
44:49.0	4.24																																																				
50:54.5	4.25																																																				
55:57.5	4.26																																																				
59:28.5	4.27																																																				
02:54.0	4.28																																																				
05:32.5	4.29																																																				
07:59.5	4.30																																																				
09:14.5	4.31																																																				
11:22.5	4.32																																																				
15:31.5	4.33																																																				
24:15.0	4.34																																																				
29:47.0	4.35																																																				
31:44.5	4.37																																																				
34:30.0	4.38																																																				
38:54.0	4.39																																																				
40:23.5	4.40																																																				
41:28.5	4.41																																																				
42:18.5	4.42																																																				
43:10.0	4.43																																																				
43:54.0	4.44																																																				
44:44.5	4.45																																																				
45:42.5	4.46																																																				
47:34.5	4.47																																																				
48:51.0	4.48																																																				
50:00.5	4.49																																																				
50:41.5	4.51																																																				
51:36.0	4.52																																																				
52:41.0	4.53																																																				
54:16.5	4.54																																																				
55:38.0	4.55																																																				
57:22.0	4.56																																																				
59:27.5	4.57																																																				
01:46.0	4.58																																																				
03:16.0	4.59																																																				
04:37.5	4.60																																																				
05:43.5	4.61																																																				
07:10.0	4.62																																																				
